,,Equipment Info,,
Month,Operater,BTS,NodeB,eNodeB
Jan'2022,GP,17029,16381,17345
,Robi,14829,11338,14868
,BL,10620,9393,10129
,TBL,5660,4876,3514
,Total ,48138,41988,45856
Feb'2022,GP,17158,16397,17476
,Robi,14836,11338,14879
,BL,10870,9393,10437
,TBL,5668,4885,3531
,Total ,48532,42013,46323
Mar'2022,GP,17308,16413,17650
,Robi,14847,11339,14891
,BL,11381,9393,11040
,TBL,5670,4885,3535
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,49206,42030,47116
Apr'2022,GP,17512,16450,17894
,Robi,14863,11338,14909
,BL,11888,9393,11629
,TBL,5670,4886,3536
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,49933,42067,47968
May'2022,GP,17675,16470,18062
,Robi,14879,11338,14925
,BL,12264,9389,12109
,TBL,5664,4880,3535
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,50482,42077,48631
Jun'2022,GP,17949,16502,18387
,Robi,14914,11342,14961
,BL,12766,9390,12652
,TBL,5664,4882,3537
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,51293,42116,49537
Jul'2022,GP,18121,16525,18556
,Robi,14979,11338,15030
,BL,13195,9390,13095
,TBL,5661,4872,3534
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,51956,42125,50215
Aug'2022,GP,18400,16552,18865
,Robi,14999,11348,15053
,BL,13391,9386,13309
,TBL,5661,4873,3534
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,52451,42159,50761
Sep'2022,GP,18542,16620,19095
,Robi,15154,11347,15219
,BL,13575,9389,13519
,TBL,5645,4859,3528
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,52916,42215,51361
Oct'2022,GP,18687,16882,19338
,Robi,15279,11346,15350
,BL,13736,9386,13685
,TBL,5647,4860,3528
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,53349,42474,51901
Nov'2022,GP,18799,16840,19462
,Robi,15405,10346,15482
,BL,13929,9386,13895
,TBL,5647,4860,3528
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,53780,41432,52367
Dec'2022,GP,18914,16870,19601
,Robi,15558,9589,15650
,BL,14107,9384,14101
,TBL,5647,4864,3529
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,54226,40707,52881
Jan'2023,GP,19014,16904,19728
,Robi,15604,9531,15704
,BL,14156,9385,14145
,TBL,5650,4867,3532
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,54424,40687,53109
Feb'2023,GP,19141,17037,19880
,Robi,15639,9530,15781
,BL," 14,197 "," 9,379 "," 14,190 "
,TBL,5653,4872,3535
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,54630,40818,53386
Mar'2023,GP,19309,17112,20103
,Robi,15692,9494,15844
,BL,14263,9376,14257
,TBL,5654,4873,3538
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,54918,40855,53742
Apr'2023,GP,19419,17173,20241
,Robi,15746,9418,15911
,BL,14366,9376,14360
,TBL,5655,4873,3539
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,55186,40840,54051
May'2023,GP,19515,17223,20412
,Robi,15826,9418,15997
,BL,14507,9373,14504
,TBL,5637,4863,3529
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,55485,40877,54442
Jun'2023,GP,19677,17258,20603
,Robi,15876,9374,16066
,BL,14637,9375,14635
,TBL,5635,4861,3537
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,55825,40868,54841
