SL,Operator Name,Division,Number of Link,Number of PoP/PoI,Total OFC (KM),Core Related Info,, Avaiable Core per PoP (Avg.) ,Capacity Related Info (Tbps),,Remarks
,,,,,,Installed Core,Unused Core,,Developed Capacity,Unused Capacity,
1,Summit Communication Ltd.,Dhaka," 15,812 "," 23,932 "," 16,115 "," 1,524,808 "," 131,093 ", 5 ,50.91,39.30,
,,Barisal," 1,670 "," 2,491 "," 3,288 "," 118,282 "," 5,414 ", 2 ,5.28,4.00,
,,Chattogram," 6,803 "," 8,824 "," 10,257 "," 325,116 "," 39,902 ", 5 ,24.08,16.02,
,,Khulna," 3,567 "," 7,698 "," 6,905 "," 239,866 "," 22,660 ", 3 ,12.93,9.52,
,,Mymensing," 2,107 "," 3,979 "," 4,035 "," 156,044 "," 8,576 ", 2 ,8.82,7.15,
,,Rajshahi," 2,650 "," 3,903 "," 3,925 "," 138,768 "," 11,954 ", 3 ,99.96,6.81,
,,Rangpur," 2,201 "," 2,291 "," 4,134 "," 105,976 "," 8,083 ", 4 ,7.10,5.21,
,,Sylhet," 2,449 "," 6,029 "," 5,047 "," 174,292 "," 16,138 ", 3 ,10.16,7.82,
,,,,,,,,,,,
2,Fiber@home Ltd.,Dhaka," 203,207 "," 38,906 "," 15,297 "," 2,979,522 "," 803,582 ", 21 ,140.45,65.45,
,,Barisal," 1,582 "," 4,654 "," 3,076 "," 52,604 "," 12,180 ", 3 ,10.81,7.57,
,,Chattogram," 15,068 "," 25,407 "," 11,355 "," 553,860 "," 130,747 ", 5 ,61.50,7.69,
,,Khulna," 3,201 "," 8,178 "," 6,184 "," 96,008 "," 30,350 ", 4 ,4.78,1.70,
,,Mymensing," 1,626 "," 2,914 "," 2,481 "," 36,720 "," 9,876 ", 3 ,10.25,5.56,
,,Rajshahi," 7,878 "," 16,663 "," 5,944 "," 245,502 "," 75,609 ", 5 ,31.43,13.58,
,,Rangpur," 8,411 "," 11,637 "," 4,420 "," 228,918 "," 73,810 ", 6 ,14.79,9.89,
,,Sylhet," 1,718 "," 4,980 "," 3,530 "," 43,380 "," 14,634 ", 3 ,14.81,9.29,
,,,,,,,,,,,
3,Bahon Limited,Dhaka,536,372,"2,384","26,968","16,966", 46 ,6.31,5.69,
,,Chattogram,821,75,"2,583","21,360","14,760", 197 ,3.17,2.08,
,,Barisal,158,29,893,"4,416","3,152", 109 ,0.85,0.56,
,,Khulna,104,56,400,"3,288","2,456", 44 ,1.82,0.89,
,,Mymensingh,137,11,959,"3,456","2,366", 215 ,0.62,0.55,
,,Rajshahi,158,27,884,"6,288","5,024", 186 ,1.50,1.25,
,,Rangpur,113,8,769,"4,518","3,612", 452 ,0.80,0.77,
,,Sylhet,137,92,336,"2,676","1,580", 17 ,0.40,0.34,
,,,,,,,,,,,
4,Railway,Dhaka,43,8,114,2056,1076, 135 ,0.00,0.00,
,,Barisal,0,,0,0,0, -   ,0.00,0.00,
,,Chattogram,0,,0,0,0, -   ,0.00,0.00,
,,Khulna,0,,0,0,0, -   ,0.00,0.00,
,,Mymensing,35,5,261,1536,926, 185 ,0.00,0.00,
,,Rajshahi,0,,0,0,0, -   ,0.00,0.00,
,,Rangpur,0,,0,0,0, -   ,0.00,0.00,
,,Sylhet,19,6,419,832,306, 51 ,0.00,0.00,
,,,,,,,,,,,
5,PGCB,-,337,,9400,7196,4049,,0.80,0.78,
