seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,_source_file,dataValue 1,dataValue 2,dataValue 3,dataValue 4,dataValue 5,dataValue 6,dataValue 7,dataValue 8,dataValue 9,dataValue 10,dataValue 11,dataValue 12,dataValue 13,dataValue 14
11485,HHU422_HHTotalIndividual,Individuals using a computer,,%,34,BGD,Bangladesh,5.5583304673224,2013,,Bangladesh Bureau of Statistics (BBS),"Refers to the proportion of individuals who used any type of computer from any location in the last three months. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",individuals-using-a-computer_1773180102892.csv,,,,,,,,,,,,,,
11485,HHU422_HHTotalIndividual,Individuals using a computer,,%,34,BGD,Bangladesh,7.44120392792545,2021,,Bangladesh Bureau of Statistics (BBS),"Refers to the proportion of individuals who used any type of computer from any location in the last three months. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",individuals-using-a-computer_1773180102892.csv,,,,,,,,,,,,,,
11485,HHU422_HHTotalIndividual,Individuals using a computer,,%,34,BGD,Bangladesh,7.94333381221605,2023,,Bangladesh Bureau of Statistics,"Refers to the proportion of individuals who used any type of computer from any location in the last three months. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",individuals-using-a-computer_1773180102892.csv,,,,,,,,,,,,,,
11485,HHU422_HHTotalIndividual,Individuals using a computer,,%,34,BGD,Bangladesh,11.316695155676808,2024,,Bangladesh Bureau of Statistics,"Refers to the proportion of individuals who used any type of computer from any location in the last three months. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",individuals-using-a-computer_1773180102892.csv,,,,,,,,,,,,,,
19307,i4213_2x,Subscriptions to fixed-broadband and fixed-telephone bundles,,count,34,BGD,Bangladesh,2250.0,2021,,Bangladesh Telecommunication Regulatory Commission,Refers to the number of bundled telecommunication subscriptions including fixed-broadband and fixed-telephone services,subscriptions-to-fixed-broadband-and-fixed-telephone-bundles_1773179760948.csv,,,,,,,,,,,,,,
19307,i4213_2x,Subscriptions to fixed-broadband and fixed-telephone bundles,,count,34,BGD,Bangladesh,212218.0,2023,"June, 2024",Bangladesh Telecommunication Regulatory Commission,Refers to the number of bundled telecommunication subscriptions including fixed-broadband and fixed-telephone services,subscriptions-to-fixed-broadband-and-fixed-telephone-bundles_1773179760948.csv,,,,,,,,,,,,,,
19307,i4213_2x,Subscriptions to fixed-broadband and fixed-telephone bundles,,count,34,BGD,Bangladesh,284748.0,2024,"December, 2024",Bangladesh Telecommunication Regulatory Commission,Refers to the number of bundled telecommunication subscriptions including fixed-broadband and fixed-telephone services,subscriptions-to-fixed-broadband-and-fixed-telephone-bundles_1773179760948.csv,,,,,,,,,,,,,,
38968,i271mb_high_5GB_GNI,"Mobile broadband data and voice high-consumption basket total (140 min, 20 SMS, 5 GB)",,% GNI per capita,34,BGD,Bangladesh,1.3,2025,,ITU Research; World Bank WDI,"Mobile broadband data and voice high-consumption basket total (140 min, 20 SMS, 5 GB), % GNI p.c.",mobile-broadband-data-and-voice-high-consumption-basket-total-140-min-20-sms-5-gb_1773180284300.csv,,,,,,,,,,,,,,
38969,i271mb_high_5GB_PPP,"Mobile broadband data and voice high-consumption basket total (140 min, 20 SMS, 5 GB)",,% GNI per capita,34,BGD,Bangladesh,9.84,2025,,ITU Research; World Bank WDI,"Mobile broadband data and voice high-consumption basket total (140 min, 20 SMS, 5 GB), % GNI p.c.",mobile-broadband-data-and-voice-high-consumption-basket-total-140-min-20-sms-5-gb_1773180284300.csv,,,,,,,,,,,,,,
38970,i271mb_high_5GB$,"Mobile broadband data and voice high-consumption basket total (140 min, 20 SMS, 5 GB)",,% GNI per capita,34,BGD,Bangladesh,2.68,2025,,ITU Research; IMF,"Mobile broadband data and voice high-consumption basket total (140 min, 20 SMS, 5 GB), % GNI p.c.",mobile-broadband-data-and-voice-high-consumption-basket-total-140-min-20-sms-5-gb_1773180284300.csv,,,,,,,,,,,,,,
33436,i271_spec_li,"Amount of spectrum licensed for IMT systems, in MHz",,MHz,34,BGD,Bangladesh,129.0,2019,129.2 MHz spectrum licensed for IMT systems.,Bangladesh Telecommunication Regulatory Commission,"Amount of spectrum licensed for IMT systems, in MHz",amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528.csv,,,,,,,,,,,,,,
33436,i271_spec_li,"Amount of spectrum licensed for IMT systems, in MHz",,MHz,34,BGD,Bangladesh,157.0,2020,156.60 MHz spectrum licensed for IMT systems.,Bangladesh Telecommunication Regulatory Commission,"Amount of spectrum licensed for IMT systems, in MHz",amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528.csv,,,,,,,,,,,,,,
33436,i271_spec_li,"Amount of spectrum licensed for IMT systems, in MHz",,MHz,34,BGD,Bangladesh,347.0,2021,"346.6 MHz (Officially assigned from 900 MHz, 1800 MHz, 2100 MHz,2.3 GHz, 2.5 GHz Bands )",Bangladesh Telecommunication Regulatory Commission,"Amount of spectrum licensed for IMT systems, in MHz",amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528.csv,,,,,,,,,,,,,,
33436,i271_spec_li,"Amount of spectrum licensed for IMT systems, in MHz",,MHz,34,BGD,Bangladesh,347.0,2022,,Bangladesh Telecommunication Regulatory Commission,"Amount of spectrum licensed for IMT systems, in MHz",amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528.csv,,,,,,,,,,,,,,
33436,i271_spec_li,"Amount of spectrum licensed for IMT systems, in MHz",,MHz,34,BGD,Bangladesh,503.0,2023,"503.2 MHz (Officially assigned from 900 MHz, 1800 MHz, 2100 MHz, 2300 MHz and  2600 MHz bands)",Bangladesh Telecommunication Regulatory Commission,"Amount of spectrum licensed for IMT systems, in MHz",amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528.csv,,,,,,,,,,,,,,
33436,i271_spec_li,"Amount of spectrum licensed for IMT systems, in MHz",,MHz,34,BGD,Bangladesh,503.0,2024,"503.2 MHz (Officially assigned from 900 MHz, 1800 MHz, 2100 MHz, 2300 MHz and  2600 MHz bands)",Bangladesh Telecommunication Regulatory Commission,"Amount of spectrum licensed for IMT systems, in MHz",amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528.csv,,,,,,,,,,,,,,
2802,trUS_DataServices,Data services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2003,,,,uas-policy_1773180113996.csv,Internet,Email,Fax,,,,,,,,,,,
2802,trUS_DataServices,Data services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2004,,,,uas-policy_1773180113996.csv,Email,Fax,Internet,,,,,,,,,,,
2802,trUS_DataServices,Data services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2015,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2802,trUS_DataServices,Data services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2020,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2802,trUS_DataServices,Data services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2021,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2802,trUS_DataServices,Data services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2022,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2003,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2004,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2005,,,,uas-policy_1773180113996.csv,Fixed-line operators,Mobile operators,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2012,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2013,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2015,,,,uas-policy_1773180113996.csv,Incumbent fixed line operator(s),All network/facilities-based operators,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2018,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2020,,,,uas-policy_1773180113996.csv,All network/facilities-based operators,Mobile operators,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2021,,,,uas-policy_1773180113996.csv,All network/facilities-based operators,Mobile operators,,,,,,,,,,,,
2805,trUS_Obligation,Operators under obligation to provide UAS,,,34,BGD,Bangladesh,,2022,,,,uas-policy_1773180113996.csv,All network/facilities-based operators,Mobile operators,,,,,,,,,,,,
2806,trUS_OtherServices,Other services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2004,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2806,trUS_OtherServices,Other services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2015,,,,uas-policy_1773180113996.csv,"Schools (primary, secondary post secondary)",Health centres,"Other, please specify:",Special services for persons with disabilites and elder persons,Telecentres,Emergency services,,,,,,,,
2806,trUS_OtherServices,Other services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2020,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2806,trUS_OtherServices,Other services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2021,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2806,trUS_OtherServices,Other services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2022,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2807,trUS_VoiceServices,Voice services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2003,,,,uas-policy_1773180113996.csv,Fixed line private residential service,Fixed line public payphone service,Individual mobile cellular service,Public mobile payphone service,,,,,,,,,,
2807,trUS_VoiceServices,Voice services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2004,,,,uas-policy_1773180113996.csv,Fixed line private residential service,Fixed line public payphone service,Individual mobile cellular service,Public mobile payphone service,,,,,,,,,,
2807,trUS_VoiceServices,Voice services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2005,,,,uas-policy_1773180113996.csv,Individual mobile cellular service,Fixed line private residential service,,,,,,,,,,,,
2807,trUS_VoiceServices,Voice services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2015,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2807,trUS_VoiceServices,Voice services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2020,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2807,trUS_VoiceServices,Voice services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2021,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2807,trUS_VoiceServices,Voice services part of UAS definition,trUSAdopted,,34,BGD,Bangladesh,,2022,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2003,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2004,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2005,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2012,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2015,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2018,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2020,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2021,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
2865,trDefinition,Countries having defined UAS,,,34,BGD,Bangladesh,,2022,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
4330,trUSAdopted,Universal Access/Service (UAS) policy,,,34,BGD,Bangladesh,,2012,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
4330,trUSAdopted,Universal Access/Service (UAS) policy,,,34,BGD,Bangladesh,,2013,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
4330,trUSAdopted,Universal Access/Service (UAS) policy,,,34,BGD,Bangladesh,,2015,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
4330,trUSAdopted,Universal Access/Service (UAS) policy,,,34,BGD,Bangladesh,,2018,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
4330,trUSAdopted,Universal Access/Service (UAS) policy,,,34,BGD,Bangladesh,,2020,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
4330,trUSAdopted,Universal Access/Service (UAS) policy,,,34,BGD,Bangladesh,,2021,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
4330,trUSAdopted,Universal Access/Service (UAS) policy,,,34,BGD,Bangladesh,,2022,,,,uas-policy_1773180113996.csv,,,,,,,,,,,,,,
8989,HHR1_HHTotalHousehold,Proportion of households with electricity,,%,34,BGD,Bangladesh,67.813089162961,2013,,Bangladesh Bureau of Statistics (BBS),Proportion of households with electricity,proportion-of-households-with-electricity_1773179702234.csv,,,,,,,,,,,,,,
8989,HHR1_HHTotalHousehold,Proportion of households with electricity,,%,34,BGD,Bangladesh,98.8563657681538,2021,,Bangladesh Bureau of Statistics (BBS),Proportion of households with electricity,proportion-of-households-with-electricity_1773179702234.csv,,,,,,,,,,,,,,
19174,tpInternetConn_Providers_Number,Number of Internet service providers (ISPs),,,34,BGD,Bangladesh,2849.0,2022,,,Number of Internet Service Providers (ISP),number-of-internet-service-providers-is-ps_1773179939581.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,0.816784043,2002,,ITU estimate.,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,1.0,2003,,,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,1.2,2004,,,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,1.36,2005,Household Income & Expenditure Survey 2005.,Bangladesh Bureau of Statistics.,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,1.633333333,2006,,ITU estimate.,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,1.905555556,2007,,ITU estimate.,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,2.23886042,2008,,ITU estimate.,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
12046,xHH4_IDI,Households with a computer,,%,34,BGD,Bangladesh,2.63,2009,,ITU estimate.,"Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer).",households-with-a-computer_1773179715423.csv,,,,,,,,,,,,,,
