dataYear,Active mobile-broadband subscriptions [count],"Amount of spectrum licensed for IMT systems, in MHz [MHz]",Average Upload Throughput for Mobile Broadband [bits],Data-only mobile broadband basket 5 GB [% GNI per capita]
2009,2136.5014160849782,,,
2010,22796.51497779454,,,
2011,130114.58471488279,,,
2012,154190.09943244958,,,
2013,1485230.9488338884,,,
2014,10606376.21438247,,,
2015,12594526.902037768,,,
2016,22055460.715056293,,,
2017,25290569.09353494,,,
2018,33303997.366527047,,,
2019,43033026.0943562,129.0,,
2020,48657446.25916726,157.0,5238077.46,
2021,46329785.13334974,347.0,5789351.65,
2022,47864010.7575267,347.0,5789351.65,
2023,53157485.001567125,503.0,6263783.0,4.3566666666666665
2024,49001070.7325277,503.0,1396881.0,2.5766666666666667
2025,,,,2.9633333333333334
