district,tower_count
Bagerhat,585
Bandarban,91
Barguna,191
Barisal,1119
Bhola,406
Bogra,655
Brahmanbaria,622
Chandpur,845
Chittagong,5098
Chuadanga,395
Comilla,1941
Cox'S Bazar,433
Dhaka,9197
Dinajpur,824
Faridpur,716
Feni,505
Gaibandha,568
Gazipur,2460
Gopalganj,276
Habiganj,409
Jamalpur,645
Jessore,1083
Jhalokati,44
Jhenaidah,549
Joypurhat,259
Khagrachari,106
Khulna,1058
Kishoreganj,642
Kurigram,464
Kushtia,594
Lakshmipur,542
Lalmonirhat,307
Madaripur,460
Magura,297
Manikganj,410
Meherpur,236
Moulvibazar,309
Munshiganj,555
Mymensingh,1783
Naogaon,366
Narail,231
Narayanganj,1222
Narsingdi,494
Natore,284
Nawabganj,494
Netrokona,523
Nilphamari,454
Noakhali,868
Pabna,578
Panchagarh,224
Patuakhali,476
Pirojpur,286
Rajbari,346
Rajshahi,1456
Rangamati,138
Rangpur,901
Satkhira,575
Shariatpur,394
Sherpur,398
Sirajganj,622
Sunamganj,567
Sylhet,1503
Tangail,1320
Thakurgaon,313
