Method: PCA first-component absolute loadings
token,weight
international-bandwidth-usage_1773179793827,0.01740641
individuals-using-the-internet_1773180094434,0.01715950
mobile-broadband-internet-traffic-within-the-country_1773180123014,0.01711341
individuals-using-a-computer_1773180102892,0.01687798
mobile-cellular-dropped-call-ratio_1773180188583,0.01681171
fixed-broadband-subscriptions_1773179782231,0.01673602
m-2-m-mobile-network-subscriptions_1773179753090,0.01663250
amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528,0.01660573
vo-ip-subscriptions_1773179737457,0.01654504
households-with-a-tv_1773179695521,0.01654069
average-download-throughput-for-fixed-broadband_1773180204009,0.01649776
individuals-using-the-internet-from-any-location-by-frequency_1773180088274,0.01643942
proportion-of-households-with-electricity_1773179702234,0.01639857
average-upload-throughput-for-fixed-broadband_1773180214417,0.01635265
fixed-broadband-internet-traffic_1773180135865,0.01634239
packet-latency-for-fixed-broadband_1773180208675,0.01621841
amount-of-spectrum-offered-for-imt-systems-in-m-hz_1773181112616,0.01611935
active-mobile-broadband-subscriptions_1773179786826,0.01608324
individuals-using-the-internet-by-location-of-use_1773180080601,0.01605950
fault-resolution-period-for-fixed-broadband-service_1773180206789,0.01605843
fixed-broadband-internet-5-gb_1773180292868,0.01602976
fixed-telephone-subscriptions-that-are-residential_1773179743765,0.01595187
households-with-access-to-internet-by-type-of-service_1773181509543,0.01591837
households-with-access-to-internet-by-type-of-service_1773179727737,0.01591837
lit-equipped-international-bandwidth-capacity_1773179797609,0.01567065
individuals-with-ict-skills-information-and-data-literacy_1773179198395,0.01565064
individuals-using-a-mobile-cellular-telephone_1773180108344,0.01564244
individuals-not-using-the-internet-by-type-of-reason_1773180001246,0.01561489
annual-foreign-investment-in-telecommunications_1773180929018,0.01559265
number-of-individuals-who-did-not-purchase-goods-or-services-online-by-reason_1773179974771,0.01558313
subscriptions-to-fixed-broadband-and-fixed-telephone-bundles_1773179760948,0.01558027
households-with-multichannel-television-by-type_1773179698592,0.01553801
households-with-a-computer_1773179715423,0.01549802
domestic-mobile-telephone-traffic_1773180139921,0.01527621
individuals-with-ict-skills-communication-and-collaboration_1773179107985,0.01527450
average-download-throughput-for-mobile-broadband_1773180192101,0.01519915
individuals-using-the-internet-by-type-of-portable-device-and-network-used-to-access-the-internet_1773180016827,0.01507716
total-population_1773179221726,0.01485862
service-activation-time-for-fixed-broadband-service_1773180211794,0.01442352
individuals-using-a-computer-by-type-of-device_1773180097972,0.01421844
mobile-cellular-numbers-ported_1773179758918,0.01408661
fixed-to-mobile-telephone-traffic_1773180176790,0.01401339
mobile-cellular-subscriptions_1773179746737,0.01396014
mobile-cellular-subscriptions-prepaid_1773179756127,0.01395904
domestic-fixed-to-fixed-telephone-traffic_1773180169808,0.01394165
individuals-who-own-a-mobile-cellular-telephone_1773179708784,0.01387996
households-with-a-radio_1773179331042,0.01363321
fixed-broadband-subscriptions-for-organizations_1773179779472,0.01346289
individuals-with-ict-skills-digital-content-creation_1773179190447,0.01293709
individuals-who-own-a-smart-telephone_1773179712205,0.01264226
individuals-using-a-smart-phone_1773180105893,0.01264226
data-only-mobile-broadband-basket-5-gb_1773180286372,0.01254161
total-international-outgoing-telephone-traffic_1773180159124,0.01250970
mobile-cellular-unsuccessful-call-ratio_1773180200737,0.01214069
full-time-equivalent-telecommunication-employees_1773181155217,0.01195892
outgoing-mobile-traffic-to-international_1773180146771,0.01160883
individuals-with-ict-skills-safety_1773179204819,0.01160641
households-with-telephone-fixed-or-mobile_1773179706015,0.01121317
individuals-using-the-internet-by-type-of-activity_1773180045775,0.01101178
fixed-telephone-subscriptions_1773181576496,0.01099634
packet-latency-for-mobile-broadband_1773180194839,0.01095292
individuals-with-ict-skills-problem-solving_1773179208879,0.01085033
international-outgoing-fixed-telephone-traffic_1773180166948,0.01034100
households-with-a-computer-by-type_1773179718113,0.01031222
average-upload-throughput-for-mobile-broadband_1773180197807,0.00998493
international-incoming-and-outgoing-fixed-telephone-traffic_1773180164342,0.00688067
international-incoming-fixed-telephone-traffic_1773180161582,0.00666987
total-international-telephone-traffic_1773180156280,0.00638254
total-international-incoming-telephone-traffic_1773180152505,0.00620576
reasons-for-not-having-internet-access-i-e-barriers_1773179731696,0.00593895
outgoing-mobile-traffic-to-fixed-networks_1773180149725,0.00571494
revenue-from-all-telecommunication-services_1773181149377,0.00479924
sms-sent_1773180143082,0.00422759
incoming-international-traffic-to-mobile-network_1773179949629,0.00232484
population-coverage-by-mobile-network-technology_1773179750049,0.00221181
annual-investment-in-telecommunication-services_1773180924383,0.00166861
revenue-from-mobile-networks_1773181146564,0.00027240
fixed-telephone-numbers-ported_1773179740460,0.00000000
mobile-broadband-data-and-voice-low-consumption-basket-total-70-min-50-sms-1-gb_1773180289637,0.00000000
mobile-broadband-data-and-voice-high-consumption-basket-total-140-min-20-sms-5-gb_1773180284300,0.00000000
number-of-internet-exchange-points-ix-ps_1773179936929,0.00000000
number-of-internet-service-providers-is-ps_1773179939581,0.00000000
number-of-individuals-who-purchased-goods-or-services-online-by-type-of-payment-channel_1773179995187,0.00000000
number-of-individuals-who-purchased-goods-or-servies-online-by-type-of-goods-and-services-purchased-online_1773179987411,0.00000000
number-of-individuals-who-purchased-goods-or-services-online-by-method-of-delivery_1773179982408,0.00000000
number-of-countries-with-which-there-is-an-operator-level-roaming-agreement_1773179957307,0.00000000
number-of-countries-with-which-there-is-a-country-level-roaming-agreement_1773179954846,0.00000000
subscriptions-to-fixed-broadband-fixed-telephone-and-pay-tv-bundles_1773179764322,0.00000000
