district,division,population_million,urban_pct,internet_access_pct,computer_access_pct,digital_literacy_proxy,data_affordability_stress,poverty_gap_proxy,digital_divide_score,status_color,pid_score_yr1,pid_score_yr3,pid_score_yr5
Nilphamari,Rangpur,2.06,19.0,40.0,2.13,0.2675,12.023,6.21,1.0016,RED,0.9616,0.8816,0.8016
Gaibandha,Rangpur,2.71,19.0,41.16,2.13,0.275,12.023,6.21,0.9997,RED,0.9597,0.8797,0.7997
Kurigram,Rangpur,2.33,19.0,43.66,2.13,0.2912,12.023,6.21,0.9956,RED,0.9556,0.8756,0.7956
Thakurgaon,Rangpur,1.56,19.0,45.43,2.13,0.3028,12.023,6.21,0.9928,RED,0.9528,0.8728,0.7928
Panchagarh,Rangpur,1.13,19.0,48.08,2.13,0.32,12.023,6.21,0.9885,RED,0.9485,0.8685,0.7885
Lalmonirhat,Rangpur,1.51,19.0,51.31,2.13,0.3409,12.023,6.21,0.9832,RED,0.9432,0.8632,0.7832
Dinajpur,Rangpur,3.35,30.0,44.3,2.4,0.2963,11.662,6.09,0.9476,RED,0.9076,0.8276,0.7476
Bhola,Barishal,1.92,22.0,59.11,2.3,0.3923,9.982,6.75,0.9268,RED,0.8868,0.8068,0.7268
Patuakhali,Barishal,1.72,22.0,62.26,2.3,0.4128,9.982,6.75,0.9217,RED,0.8817,0.8017,0.7217
Pirojpur,Barishal,1.13,22.0,62.6,2.3,0.415,9.982,6.75,0.9211,RED,0.8811,0.8011,0.7211
Rangpur,Rangpur,3.12,34.0,53.93,2.5,0.3593,11.531,6.04,0.9149,RED,0.8749,0.7949,0.7149
Jhalokati,Barishal,0.7,22.0,67.2,2.3,0.4448,9.982,6.75,0.9137,RED,0.8737,0.7937,0.7137
Barguna,Barishal,0.93,22.0,68.41,2.3,0.4527,9.982,6.75,0.9117,RED,0.8717,0.7917,0.7117
Sherpur,Mymensingh,1.5,18.0,55.31,1.52,0.3648,10.804,5.81,0.8613,RED,0.8213,0.7413,0.6613
Netrokona,Mymensingh,2.42,18.0,57.56,1.52,0.3794,10.804,5.81,0.8577,RED,0.8177,0.7377,0.6577
Jamalpur,Mymensingh,2.45,25.0,50.54,1.64,0.3343,10.599,5.74,0.8462,RED,0.8062,0.7262,0.6462
Barishal,Barishal,2.31,40.0,71.69,2.77,0.4757,9.488,6.54,0.835,RED,0.795,0.715,0.635
Mymensingh,Mymensingh,5.77,42.0,52.34,1.95,0.3471,10.099,5.57,0.7876,RED,0.7476,0.6676,0.5876
Natore,Rajshahi,1.83,24.0,46.85,2.92,0.3148,8.456,3.44,0.7265,RED,0.6865,0.6065,0.5265
Naogaon,Rajshahi,2.82,24.0,49.26,2.92,0.3304,8.456,3.44,0.7226,RED,0.6826,0.6026,0.5226
Chapai Nawabganj,Rajshahi,1.77,24.0,49.73,2.92,0.3335,8.456,3.44,0.7219,RED,0.6819,0.6019,0.5219
Joypurhat,Rajshahi,1.03,24.0,51.48,2.92,0.3448,8.456,3.44,0.719,RED,0.679,0.599,0.519
Sirajganj,Rajshahi,3.76,30.0,54.63,3.11,0.366,8.315,3.41,0.6933,RED,0.6533,0.5733,0.4941
Pabna,Rajshahi,2.67,32.0,56.81,3.18,0.3804,8.269,3.4,0.6829,RED,0.6429,0.5629,0.4854
Sunamganj,Sylhet,2.84,26.0,72.34,2.56,0.4791,11.181,3.42,0.6592,RED,0.6192,0.5392,0.4656
Habiganj,Sylhet,2.37,26.0,72.74,2.56,0.4818,11.181,3.42,0.6585,RED,0.6185,0.5385,0.4651
Rajshahi,Rajshahi,2.94,42.0,51.14,3.5,0.3446,8.035,3.34,0.6577,RED,0.6177,0.5377,0.4644
Bogura,Rajshahi,3.85,40.0,58.76,3.44,0.3939,8.082,3.35,0.6522,RED,0.6122,0.5322,0.4598
Moulvibazar,Sylhet,2.18,32.0,68.33,2.73,0.4537,10.995,3.39,0.6505,RED,0.6105,0.5305,0.4584
Magura,Khulna,1.01,28.0,61.02,3.68,0.4095,9.016,2.78,0.6073,RED,0.5673,0.4873,0.4233
Jhenaidah,Khulna,1.92,28.0,61.99,3.68,0.4158,9.016,2.78,0.6057,RED,0.5657,0.4857,0.4221
Sylhet,Sylhet,3.68,49.0,69.93,3.2,0.4657,10.466,3.28,0.6047,RED,0.5647,0.4847,0.4213
Bagerhat,Khulna,1.6,28.0,65.95,3.68,0.4416,9.016,2.78,0.5993,RED,0.5593,0.4793,0.4173
Chuadanga,Khulna,1.24,28.0,66.05,3.68,0.4422,9.016,2.78,0.5991,RED,0.5591,0.4791,0.4172
Satkhira,Khulna,2.15,28.0,66.15,3.68,0.4429,9.016,2.78,0.599,RED,0.559,0.479,0.417
Meherpur,Khulna,0.75,28.0,66.7,3.68,0.4464,9.016,2.78,0.5981,RED,0.5581,0.4781,0.4164
Narail,Khulna,0.86,28.0,68.78,3.68,0.4599,9.016,2.78,0.5947,RED,0.5547,0.4747,0.4138
Cox's Bazar,Chattogram,2.72,30.0,67.79,4.25,0.4555,7.423,3.83,0.5883,RED,0.5483,0.4683,0.409
Kushtia,Khulna,2.1,36.0,64.76,3.99,0.4349,8.814,2.74,0.5808,RED,0.5408,0.4608,0.4034
Chandpur,Chattogram,2.65,35.0,68.1,4.47,0.4583,7.318,3.8,0.5767,RED,0.5367,0.4567,0.4002
Rangamati,Chattogram,0.66,35.0,68.62,4.47,0.4617,7.318,3.8,0.5759,RED,0.5359,0.4559,0.3996
Khagrachari,Chattogram,0.71,35.0,69.7,4.47,0.4687,7.318,3.8,0.5741,RED,0.5341,0.4541,0.3983
Noakhali,Chattogram,3.72,35.0,71.2,4.47,0.4784,7.318,3.8,0.5717,RED,0.5317,0.4517,0.3964
Tangail,Dhaka,4.09,28.0,73.11,8.1,0.5035,5.953,4.28,0.5708,RED,0.5308,0.4508,0.3958
Feni,Chattogram,1.44,35.0,72.19,4.47,0.4848,7.318,3.8,0.5701,RED,0.5301,0.4501,0.3953
Jashore,Khulna,2.96,38.0,68.31,4.07,0.4583,8.764,2.73,0.57,RED,0.53,0.45,0.3952
Cumilla,Chattogram,6.1,38.0,70.44,4.6,0.474,7.256,3.78,0.5663,RED,0.5263,0.4463,0.3923
Lakshmipur,Chattogram,1.91,35.0,75.53,4.47,0.5066,7.318,3.8,0.5646,RED,0.5246,0.4446,0.3911
Bandarban,Chattogram,0.49,35.0,76.62,4.47,0.5137,7.318,3.8,0.5629,RED,0.5229,0.4429,0.3898
Brahmanbaria,Chattogram,3.48,35.0,78.11,4.47,0.5233,7.318,3.8,0.5605,RED,0.5205,0.4405,0.388
Narsingdi,Dhaka,2.5,45.0,75.03,9.55,0.5212,5.67,4.15,0.5303,YELLOW,0.4903,0.4115,0.3656
Khulna,Khulna,2.71,53.0,71.27,4.65,0.4796,8.386,2.66,0.5269,YELLOW,0.4869,0.4086,0.3632
Madaripur,Dhaka,1.28,55.0,75.98,10.41,0.5303,5.504,4.08,0.5067,YELLOW,0.4667,0.3913,0.3489
Munshiganj,Dhaka,1.54,55.0,79.9,10.41,0.5558,5.504,4.08,0.5004,YELLOW,0.4604,0.3858,0.3444
Faridpur,Dhaka,1.87,55.0,82.09,10.41,0.57,5.504,4.08,0.4968,YELLOW,0.4568,0.3827,0.3419
Gopalganj,Dhaka,1.2,55.0,82.97,10.41,0.5757,5.504,4.08,0.4954,YELLOW,0.4554,0.3815,0.3409
Kishoreganj,Dhaka,3.33,55.0,83.2,10.41,0.5772,5.504,4.08,0.495,YELLOW,0.455,0.3812,0.3406
Shariatpur,Dhaka,1.28,55.0,83.63,10.41,0.58,5.504,4.08,0.4943,YELLOW,0.4543,0.3806,0.3401
Rajbari,Dhaka,1.13,55.0,84.78,10.41,0.5875,5.504,4.08,0.4924,YELLOW,0.4524,0.379,0.3388
Manikganj,Dhaka,1.58,55.0,85.21,10.41,0.5903,5.504,4.08,0.4917,YELLOW,0.4517,0.3784,0.3383
Chattogram,Chattogram,8.47,66.0,78.73,5.83,0.5321,6.671,3.59,0.4908,YELLOW,0.4508,0.3776,0.3376
Gazipur,Dhaka,4.38,72.0,87.35,11.86,0.6093,5.221,3.95,0.4508,YELLOW,0.4108,0.3436,0.3094
Narayanganj,Dhaka,3.24,76.0,83.22,12.21,0.5836,5.154,3.92,0.4488,YELLOW,0.4088,0.342,0.308
Dhaka,Dhaka,12.89,85.0,83.63,12.98,0.589,5.005,3.85,0.4283,YELLOW,0.3883,0.3258,0.2939
