"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","0.0",2021,"","Independent Communications Authority of South Africa","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","0.0",2022,"","Independent Communications Authority of South Africa","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","660.0",2023,"","Independent Communications Authority of South Africa","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","651.0",2024,"","Independent Communications Authority of South Africa","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",8,"AGO","Angola","390.0",2018,"","INACOM","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",8,"AGO","Angola","390.0",2019,"","Angolan Institute of Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",8,"AGO","Angola","690.0",2020,"","Angolan Institute of Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",8,"AGO","Angola","725.2",2021,"","Angolan Institute of Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1121.0",2022,"","Angolan Institute of Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1362.0",2023,"","Angolan Institute of Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",8,"AGO","Angola","3494.0",2024,"","Angolan Institute of Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",10,"ALB","Albania","0.0",2020,"No spectrum allocations in 2020. After 2015 there are no restrictions for technology using, so operators can use this band also for IMT.","Ministry of Infrastructure and Energy","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",10,"ALB","Albania","0.0",2021,"","Ministry of Infrastructure and Energy","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",10,"ALB","Albania","293.4",2022,"","Ministry of Infrastructure and Energy","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",10,"ALB","Albania","283.4",2023,"","Ministry of Infrastructure and Energy","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",10,"ALB","Albania","523.4",2024,"","Ministry of Infrastructure and Energy","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","200.0",2017,"","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","200.0",2018,"","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","290.0",2019,"","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","320.0",2020,"2 x 160 MHz (FDD), soit un total de 320 MHz qui est mis à disposition des opérateurs de la téléphonie fixe et mobile, détenteurs de Licence","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","340.0",2021,"","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","550.0",2022,"Il s'agit de l'ajout de la quantité de 100 MHz attribuée, dans la bande 3044-3600 MHz, pour les tests 5G +20 MHz (P-LTE) +(60+30) MHz extension 4G","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","455.0",2023,"455 MHz s'explique par la diminution de 100 MHz qui a été utilisées, à titre temporaire, pour les test 5G  et une augmentation de 5 MHz due à une extension en fréquences de 5 MHz d'un réseau      P-LTE.","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","455.0",2024,"","Ministère de la Poste et des Télécommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",14,"AND","Andorra","235.0",2021,"","Andorra Telecom SAU","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",14,"AND","Andorra","235.0",2022,"","Andorra Telecom SAU","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",14,"AND","Andorra","235.0",2023,"","Andorra Telecom SAU","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",14,"AND","Andorra","235.0",2024,"","Andorra Telecom SAU","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","510.0",2019,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","510.0",2020,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","510.0",2021,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","510.0",2022,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","490.0",2023,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","490.0",2024,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","1110.0",2019,"","Communication and Information Technology Commission","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","1110.0",2020,"","Communication and Information Technology Commission","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","1110.0",2021,"","Communication and Information Technology Commission","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","1110.0",2022,"","Communication and Information Technology Commission","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","1110.0",2023,"","Communication and Information Technology Commission","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","1400.0",2024,"","Communications, Space and Technology Commission","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","758.0",2017,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2020##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","913.0",2018,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2020##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","913.0",2019,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2020##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","913.0",2020,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2021##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.##","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3313.0",2021,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2022##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 850 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz, 3.6 GHz and 26 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3708.0",2022,"Licenses by Sub-Service#ACMA Register of Radiocommunications Licenses, as at September 2023#https://web.acma.gov.au/rrl/browse_licences.cat_listing #Note: Spectrum and apparatus licences in 700 MHz, 850 MHz, 900 MHz, 1800 MHz, 1900-1920 MHz, 2.1 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz, 3.6 GHz and 26 GHz are ITU IMT identified services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3728.0",2023,"Licenses by Sub-Service#ACMA Register of Radiocommunications Licenses, as at September 2023#https://web.acma.gov.au/rrl/browse_licences.cat_listing #Note: Spectrum and apparatus licences in 700 MHz, 850 MHz, 900 MHz, 1800 MHz, 1900-1920 MHz, 2.1 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz, 3.6 GHz and 26 GHz are ITU IMT identified services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3728.0",2024,"Licenses by Sub-Service#ACMA Register of Radiocommunications Licenses, as at May 2025","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",24,"AUT","Austria","980.0",2019,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2020,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2021,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2022,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2023,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum licensed for IMT systems, in MHz"
33436,"i271_spec_li","Amount of spectrum licensed for IMT systems, in MHz",,"MHz",25,"AZE","Azerbaijan","16.0",2018,"","Ministry of Transport, Communications and High Technologies","Amount of spectrum licensed for IMT systems, in MHz"
