"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","386.0",2018,"","Independent Communications Authority of South Africa","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","386.0",2019,"","Independent Communications Authority of South Africa","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","386.0",2020,"","Independent Communications Authority of South Africa","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","386.0",2021,"","Independent Communications Authority of South Africa","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","386.0",2022,"","Independent Communications Authority of South Africa","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","915.0",2023,"","Independent Communications Authority of South Africa","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",7,"ZAF","South Africa","1175.0",2024,"","Independent Communications Authority of South Africa","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1173.0",2018,"735,2 MHz##","INACOM","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1173.0",2019,"735,2MHz","Angolan Institute of Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1173.0",2020,"935,2MHz","Angolan Institute of Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1070.0",2021,"","Angolan Institute of Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1138.5",2022,"","Angolan Institute of Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",8,"AGO","Angola","1770.0",2023,"","Angolan Institute of Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",8,"AGO","Angola","8159.0",2024,"","Angolan Institute of Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",10,"ALB","Albania","3909.0",2021,"","Ministry of Infrastructure and Energy","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",10,"ALB","Albania","4000.0",2022,"","Ministry of Infrastructure and Energy","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",10,"ALB","Albania","4020.0",2023,"","Ministry of Infrastructure and Energy","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",10,"ALB","Albania","4020.0",2024,"","Ministry of Infrastructure and Energy","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","200.0",2017,"","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","200.0",2018,"","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","310.0",2019,"","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","650.0",2020,"2 x 170 MHz (FDD), soit un total de 340 MHz offertes pour les systèmes IMT. ##310 MHz (TDD), dont 290 MHz est identifiée en cours d'attribution.","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","650.0",2021,"","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","650.0",2022,"","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","655.0",2023,"","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",11,"DZA","Algeria","655.0",2024,"","Ministère de la Poste et des Télécommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",14,"AND","Andorra","3585.0",2021,"","Andorra Telecom SAU","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",14,"AND","Andorra","3585.0",2022,"","Andorra Telecom SAU","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",14,"AND","Andorra","3585.0",2023,"","Andorra Telecom SAU","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",14,"AND","Andorra","3585.0",2024,"","Andorra Telecom SAU","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","2935.0",2019,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","2935.0",2020,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","2935.0",2021,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","2935.0",2022,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","3235.0",2023,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",17,"ARM","Armenia","985.0",2024,"","Ministry of High-Tech Industry of Armenia","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","1434.0",2019,"","Communication and Information Technology Commission","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","4621.0",2020,"","Communication and Information Technology Commission","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","4876.0",2021,"","Communication and Information Technology Commission","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","4876.0",2022,"","Communication and Information Technology Commission","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","4876.0",2023,"","Communication and Information Technology Commission","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",18,"SAU","Saudi Arabia","4876.0",2024,"","Communications, Space and Technology Commission","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","788.0",2017,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2020##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","913.0",2018,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2020##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","913.0",2019,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2020##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","913.0",2020,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2021##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz and 3.6 GHz are used for mobile services in Australia.##","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3333.0",2021,"Licenses by Sub-Service##ACMA Register of Radiocommunications Licenses, as at September 2022##https://web.acma.gov.au/rrl/browse_licences.cat_listing ##Note: PTS – PMTS Class B (870-960 MHz), PTS (900 MHz) and Spectrum 700 MHz, 800 MHz, 850 MHz, 1800 MHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz, 3.6 GHz and 26 GHz are used for mobile services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3728.0",2022,"Licenses by Sub-Service#ACMA Register of Radiocommunications Licenses, as at September 2023#https://web.acma.gov.au/rrl/browse_licences.cat_listing #Note: Spectrum and apparatus licences in 700 MHz, 850 MHz, 900 MHz, 1800 MHz, 1900-1920 MHz, 2.1 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz, 3.6 GHz and 26 GHz are ITU IMT identified services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3728.0",2023,"Licenses by Sub-Service#ACMA Register of Radiocommunications Licenses, as at September 2023#https://web.acma.gov.au/rrl/browse_licences.cat_listing #Note: Spectrum and apparatus licences in 700 MHz, 850 MHz, 900 MHz, 1800 MHz, 1900-1920 MHz, 2.1 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz, 3.6 GHz and 26 GHz are ITU IMT identified services in Australia.","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",23,"AUS","Australia","3728.0",2024,"Licenses by Sub-Service#ACMA Register of Radiocommunications Licenses, as at May 2025","Department of Infrastructure, Transport, Regional Development and Communications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2019,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2020,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2021,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum offered for IMT systems, in MHz"
33432,"i271_spec_a","Amount of spectrum offered for IMT systems, in MHz",,"MHz",24,"AUT","Austria","1130.0",2022,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Amount of spectrum offered for IMT systems, in MHz"
