"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",7,"ZAF","South Africa","1.642116079056E12",2020,"","Independent Communications Authority of South Africa","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",7,"ZAF","South Africa","2.221923090951E12",2021,"","Independent Communications Authority of South Africa","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",7,"ZAF","South Africa","2.373643084648E12",2022,"","Independent Communications Authority of South Africa","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",7,"ZAF","South Africa","2.858894102237E12",2023,"","Independent Communications Authority of South Africa","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",7,"ZAF","South Africa","3.506571385951E12",2024,"","Independent Communications Authority of South Africa","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",8,"AGO","Angola","3.968302E7",2023,"","Angolan Institute of Communications","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",8,"AGO","Angola","4.0E7",2024,"","Angolan Institute of Communications","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",10,"ALB","Albania","2.73333E8",2022,"","Ministry of Infrastructure and Energy","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",10,"ALB","Albania","7.9784807E7",2023,"184 Operators","Ministry of Infrastructure and Energy","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34237,"i147dl","Average Download Throughput for Fixed Broadband",,"bits",10,"ALB","Albania","2.03657748E8",2024,"","Ministry of Infrastructure and Energy","The volume of data (in bits) downloaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
