"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",6,"AFG","Afghanistan","260.0",2022,"187Kbps in 3G##260Kbps in 4G","Afghanistan Telecommunication Regulatory Authority.","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",7,"ZAF","South Africa","1.1807756E7",2020,"","Independent Communications Authority of South Africa","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",7,"ZAF","South Africa","1.1945756E7",2021,"","Independent Communications Authority of South Africa","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",7,"ZAF","South Africa","1.06576E7",2022,"","Independent Communications Authority of South Africa","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",7,"ZAF","South Africa","1.5052E7",2023,"","Independent Communications Authority of South Africa","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",7,"ZAF","South Africa","2.09816335E8",2024,"","Independent Communications Authority of South Africa","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",8,"AGO","Angola","2280430.0",2023,"","Angolan Institute of Communications","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",8,"AGO","Angola","2936264.0",2024,"","Angolan Institute of Communications","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",10,"ALB","Albania","3.25E7",2022,"","Ministry of Infrastructure and Energy","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",10,"ALB","Albania","3.7331625E7",2023,"2 Operators","Ministry of Infrastructure and Energy","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",10,"ALB","Albania","3.8639826E7",2024,"","Ministry of Infrastructure and Energy","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",14,"AND","Andorra","3058526.15",2022,"","Andorra Telecom SAU","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",14,"AND","Andorra","3136694.66",2023,"","Andorra Telecom SAU","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
34240,"i146mwul","Average Upload Throughput for Mobile Broadband",,"bits",14,"AND","Andorra","3136694.66",2024,"","Andorra Telecom SAU","The volume of data (in bits) uploaded in one second. Calculated as the total transferred data volume (in bits) divided by the total timeframe"
