"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,6,"AFG","Afghanistan","Without price control",2024,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,7,"ZAF","South Africa","Without price control",2012,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,7,"ZAF","South Africa","Without price control",2013,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,7,"ZAF","South Africa","Without price control",2015,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,8,"AGO","Angola","Without price control",2012,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,8,"AGO","Angola","Without price control",2021,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,8,"AGO","Angola","With price control",2023,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,8,"AGO","Angola","With price control",2024,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2013,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2015,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2016,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2017,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2018,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2019,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2020,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2021,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2022,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2023,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,10,"ALB","Albania","Without price control",2024,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2009,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2010,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2011,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2012,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2013,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2015,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2017,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,11,"DZA","Algeria","Without price control",2018,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","With price control",2011,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","With price control",2012,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2013,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2014,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2015,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2016,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2017,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2018,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2021,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2022,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2023,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,14,"AND","Andorra","Without price control",2024,"","","IPTV"
5345,"tpTelecom_Price_Retail_Broadcast_IPTV","Price regulation of retail IPTV services",,,16,"ARG","Argentina","Without price control",2009,"","","IPTV"
