"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6"
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,8,"AGO","Angola","LRIC",2020,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,8,"AGO","Angola","Fully Distributed Costs",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,8,"AGO","Angola","Fully Distributed Costs",2024,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,10,"ALB","Albania","LRIC",2019,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,11,"DZA","Algeria","LRAIC",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,11,"DZA","Algeria","LRAIC",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,11,"DZA","Algeria","LRAIC",2024,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,14,"AND","Andorra","Fully Distributed Costs",2021,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,14,"AND","Andorra","Fully Distributed Costs",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,14,"AND","Andorra","Fully Distributed Costs",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,14,"AND","Andorra","Fully Distributed Costs",2024,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,17,"ARM","Armenia","Other",2019,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,17,"ARM","Armenia","Other",2020,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,17,"ARM","Armenia","Other",2021,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,17,"ARM","Armenia","Other",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,17,"ARM","Armenia","Other",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,17,"ARM","Armenia","Other",2024,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,18,"SAU","Saudi Arabia","LRIC+",2019,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,18,"SAU","Saudi Arabia","LRIC+",2020,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,18,"SAU","Saudi Arabia","LRIC+",2021,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,18,"SAU","Saudi Arabia","LRIC+",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,18,"SAU","Saudi Arabia","LRIC+",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,23,"AUS","Australia","Other",2020,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,23,"AUS","Australia","Other",2021,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,23,"AUS","Australia","Other",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,23,"AUS","Australia","Other",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,23,"AUS","Australia","Other",2024,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,24,"AUT","Austria",,2019,"","","Advanced wholesale","Pure LRIC","LRAIC",,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,24,"AUT","Austria","LRAIC",2020,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,24,"AUT","Austria","LRAIC",2021,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,24,"AUT","Austria","LRAIC",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,27,"BRA","Brazil",,2019,"","","Advanced wholesale","Fully Distributed Costs","Other",,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,27,"BRA","Brazil",,2020,"","","Advanced wholesale","Fully Distributed Costs","Other",,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,27,"BRA","Brazil",,2021,"","","Advanced wholesale","Fully Distributed Costs","Other",,,,
