"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5"
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,8,"AGO","Angola","LRIC",2020,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,10,"ALB","Albania","LRAIC",2019,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,11,"DZA","Algeria","Other",2022,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,11,"DZA","Algeria","Other",2023,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,11,"DZA","Algeria","Other",2024,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,14,"AND","Andorra","Fully Distributed Costs",2021,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,14,"AND","Andorra","Fully Distributed Costs",2022,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,14,"AND","Andorra","Fully Distributed Costs",2023,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,14,"AND","Andorra","Fully Distributed Costs",2024,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,17,"ARM","Armenia","Other",2019,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,17,"ARM","Armenia","Other",2020,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,17,"ARM","Armenia","Other",2021,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,17,"ARM","Armenia","Other",2022,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,17,"ARM","Armenia","Other",2023,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,17,"ARM","Armenia","Other",2024,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,18,"SAU","Saudi Arabia","LRIC+",2019,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,18,"SAU","Saudi Arabia","LRIC+",2020,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,18,"SAU","Saudi Arabia","LRIC+",2021,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,18,"SAU","Saudi Arabia","LRIC+",2022,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,18,"SAU","Saudi Arabia","LRIC+",2023,"","","Advanced retail",,,,,
31670,"tpCost_Methodolgy_Adv_R_Mobile","Advanced retail services",,,29,"BDI","Burundi","Other",2021,"","","Advanced retail",,,,,
