"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",4,"ABW","Aruba","27.93",2023,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",4,"ABW","Aruba","27.93",2024,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",4,"ABW","Aruba","27.93",2025,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",6,"AFG","Afghanistan","6.4",2023,"","ITU Research; UNOPS","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",6,"AFG","Afghanistan","7.08",2024,"","ITU Research; UNOPS","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",6,"AFG","Afghanistan","6.97",2025,"","ITU Research; UNOPS","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",7,"ZAF","South Africa","17.9",2023,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",7,"ZAF","South Africa","16.69",2024,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",7,"ZAF","South Africa","6.43",2025,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",8,"AGO","Angola","8.57",2023,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",8,"AGO","Angola","5.93",2024,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",8,"AGO","Angola","5.48",2025,"","Angolan Institute of Communications; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",9,"AIA","Anguilla","48.15",2023,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",9,"AIA","Anguilla","37.04",2024,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",9,"AIA","Anguilla","37.04",2025,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",10,"ALB","Albania","12.84",2023,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",10,"ALB","Albania","13.89",2024,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",10,"ALB","Albania","13.83",2025,"","Electronic and Postal Communications Authority; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",11,"DZA","Algeria","4.42",2023,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
36055,"i271mb_5GB$","Data-only mobile broadband basket 5 GB",,"% GNI per capita",11,"DZA","Algeria","6.25",2024,"","ITU Research; IMF","Data-only mobile broadband basket 5 GB, as a % of GNI pc"
