"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",6,"AFG","Afghanistan","5.0",2022,"average","Afghanistan Telecommunication Regulatory Authority.","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",7,"ZAF","South Africa","38.0",2020,"","Independent Communications Authority of South Africa","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",7,"ZAF","South Africa","10.0",2021,"","Independent Communications Authority of South Africa","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",7,"ZAF","South Africa","10.0",2022,"","Independent Communications Authority of South Africa","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",7,"ZAF","South Africa","10.0",2023,"","Independent Communications Authority of South Africa","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",7,"ZAF","South Africa","10.0",2024,"","Independent Communications Authority of South Africa","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",8,"AGO","Angola","6.8",2023,"","Angolan Institute of Communications","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",8,"AGO","Angola","6.5",2024,"","Angolan Institute of Communications","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",10,"ALB","Albania","0.4",2022,"","Ministry of Infrastructure and Energy","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",10,"ALB","Albania","4.0",2023,"","Ministry of Infrastructure and Energy","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",10,"ALB","Albania","4.0",2024,"","Ministry of Infrastructure and Energy","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",14,"AND","Andorra","3.03",2022,"","Andorra Telecom SAU","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",14,"AND","Andorra","3.38",2023,"","Andorra Telecom SAU","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",14,"AND","Andorra","2.74",2024,"","Andorra Telecom SAU","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",17,"ARM","Armenia","20.0",2020,"","Ministry of High-Tech Industry of Armenia","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",17,"ARM","Armenia","20.0",2021,"","Ministry of High-Tech Industry of Armenia","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",17,"ARM","Armenia","10.0",2022,"","Ministry of High-Tech Industry of Armenia","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",17,"ARM","Armenia","13.0",2023,"","Ministry of High-Tech Industry of Armenia","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",17,"ARM","Armenia","13.0",2024,"","Ministry of High-Tech Industry of Armenia","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",25,"AZE","Azerbaijan","8.0",2022,"","Ministry of Digital Development and Transport","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",25,"AZE","Azerbaijan","8.0",2023,"","Ministry of Digital Development and Transport","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",25,"AZE","Azerbaijan","6.0",2024,"","Ministry of Digital Development and Transport","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",29,"BDI","Burundi","0.0",2020,"","Agence de Régulation et de Contrôle des Télécommunications ","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",29,"BDI","Burundi","3.0",2021,"","Agence de Régulation et de Contrôle des Télécommunications","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",29,"BDI","Burundi","3.0",2022,"","Agence de Régulation et de Contrôle des Télécommunications","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",29,"BDI","Burundi","3.0",2023,"AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS","Agence de Régulation et de Contrôle des Télécommunications","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",31,"BEN","Benin","72.0",2022,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",31,"BEN","Benin","72.0",2023,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
34243,"i147f","Fault Resolution Period for Fixed Broadband Service",,"hours",31,"BEN","Benin","72.0",2024,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The average time taken to clear customer fault reports for fixed broadband networks (in hours). Computed as the total number of working hours taken for all faults cleared by total the number of faults"
