"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",6,"AFG","Afghanistan","761.0",2017,"","Afghanistan Telecom Regulatory Authority","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",6,"AFG","Afghanistan","983.0",2018,"","Afghanistan Telecom Regulatory Authority","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",6,"AFG","Afghanistan","1627.0",2019,"","Afghanistan Telecom Regulatory Authority","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","273219.0",2014,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","526479.0",2015,"The figure dropped because one big ISP company is delaying me with their submission of data. I will update the figure once I receive their submission next week.","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","557766.0",2016,"","Independent Communication Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","577260.0",2017,"","Independent Communication Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","397090.0",2018,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","272981.0",2019,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","156412.0",2020,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","223063.0",2021,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","220503.0",2022,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","263438.0",2023,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",7,"ZAF","South Africa","288023.0",2024,"","Independent Communications Authority of South Africa","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",8,"AGO","Angola","67055.0",2014,"","Angolan Institute of Communications","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",8,"AGO","Angola","97599.0",2015,"","Angolan Institute of Communications","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",8,"AGO","Angola","65497.0",2016,"","Angolan Institute of Communications","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",8,"AGO","Angola","21046.0",2017,"","Angolan Institute of Communications","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",8,"AGO","Angola","22089.0",2018,"","INACOM","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
19305,"i4213tfb_o","Fixed-broadband subscriptions for organizations",,"count",8,"AGO","Angola","4897.0",2019,"","Angolan Institute of Communications","Refers to the total subscriptions contracted by public and private organizations, institutions or businesses (i.e., non-residential customers) to access the public Internet at a fixed location at downstream speeds greater than, or equal to 256 kbit/s"
