"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
11622,"i112pt","Fixed-telephone numbers ported",,"count",6,"AFG","Afghanistan","9206.0",2019,"","Afghanistan Telecom Regulatory Authority","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",6,"AFG","Afghanistan","28767.0",2022,"","Afghanistan Telecommunication Regulatory Authority.","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","71448.0",2014,"ported out numbers. ported in numbers excluded","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","185668.0",2015,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","118295.0",2016,"","Independent Communication Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","121567.0",2017,"","Independent Communication Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","421378.0",2018,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","560444.0",2019,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","316873.0",2020,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","689160.0",2021,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","999988.0",2022,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","413710.0",2023,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",7,"ZAF","South Africa","421723.0",2024,"","Independent Communications Authority of South Africa","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","44.0",2012,"Fixed number portability started in September 2012.","National Agency on Information Society","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","2875.0",2013,"","National Agency on Information Society","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","5336.0",2014,"","Minister of State for the Innovation and Public Administration","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","2661.0",2015,"","Minister of State for the Innovation and Public Administration","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","1361.0",2016,"","AKEP","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","742.0",2017,"","Ministry of Infrastructure and Energy","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","2258.0",2018,"","Ministry of Infrastructure and Energy","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","902.0",2019,"","Ministry of Infrastructure and Energy","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","803.0",2020,"","Ministry of Infrastructure and Energy","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
11622,"i112pt","Fixed-telephone numbers ported",,"count",10,"ALB","Albania","991.0",2022,"","Ministry of Infrastructure and Energy","Refers to the number of porting transactions within the fixed-telephone line network that have been carried out for fixed-telephone numbers during the reference year"
