"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
253,"i51","Full-time equivalent telecommunication employees ",,"count",4,"ABW","Aruba","409.0",2000,"","Servicio di Telecomunicacion di Aruba (SETAR).","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",4,"ABW","Aruba","417.0",2001,"","Servicio di Telecomunicacion di Aruba (SETAR).","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",4,"ABW","Aruba","364.0",2005,"","Servicio di Telecomunicacion di Aruba (SETAR).","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",4,"ABW","Aruba","368.0",2006,"","Servicio di Telecomunicacion di Aruba (SETAR).","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",4,"ABW","Aruba","390.0",2007,"","Servicio di Telecomunicacion di Aruba (SETAR).","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",4,"ABW","Aruba","377.0",2008,"","Servicio di Telecomunicacion di Aruba (SETAR).","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","43000.0",2005,"Incl. posts.","Ministry of Communications.","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","45000.0",2006,"Incl. posts.","Ministry of Communications.","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","6066.0",2015,"","Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","6409.0",2016,"These figures are direct employment with MNOs.","Afghanistan Telecom Regulatory Authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","12462.0",2017,"These figures are direct employment with MNOs.","Afghanistan Telecom Regulatory Authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","14194.0",2018,"These figures are direct employment with MNOs and ISPs.","Afghanistan Telecom Regulatory Authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","10634.0",2019,"These figures are direct employment with MNOs and ISPs.","Afghanistan Telecom Regulatory Authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",6,"AFG","Afghanistan","15665.0",2022,"","Afghanistan Telecommunication Regulatory Authority.","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",7,"ZAF","South Africa","50421.0",2000,"","","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",7,"ZAF","South Africa","45870.0",2001,"","","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",7,"ZAF","South Africa","41590.0",2002,"","","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
