"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5"
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,7,"ZAF","South Africa","Temporary (short-term), for the duration of the pandemic",2022,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,10,"ALB","Albania","Temporary (short-term), for the duration of the pandemic",2024,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,11,"DZA","Algeria","Permanent, will remain in place after the pandemic",2022,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,16,"ARG","Argentina","Other",2022,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,17,"ARM","Armenia","Temporary (short-term), for the duration of the pandemic",2022,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,18,"SAU","Saudi Arabia",,2022,"","","","Temporary (short-term), for the duration of the pandemic","Permanent, will remain in place after the pandemic",,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,18,"SAU","Saudi Arabia","Permanent, will remain in place after the pandemic",2024,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,23,"AUS","Australia","Temporary (short-term), for the duration of the pandemic",2024,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,25,"AZE","Azerbaijan","Temporary (short-term), for the duration of the pandemic",2022,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,27,"BRA","Brazil","Temporary (short-term), for the duration of the pandemic",2024,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,31,"BEN","Benin",,2022,"","","","Temporary (short-term), for the duration of the pandemic","Other","Temporary (mid-term), will be applied also during the recovery phase after the pandemic","Permanent, will remain in place after the pandemic",
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,39,"BOL","Bolivia (Plurinational State of)","Permanent, will remain in place after the pandemic",2022,"","","",,,,,
34455,"trCovid19_Policy_Measures","Collaboration between the ICT ministry and Ministry of health",,,40,"BWA","Botswana","Permanent, will remain in place after the pandemic",2022,"","","",,,,,
