"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",11,"DZA","Algeria","20.7543755181319",2018,"","Ministry of Post, Telecommunications, Technologies and Digital","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","14.345702723633",2016,"","CITC","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","20.3984544695071",2017,"","Communication and Information Technology Commission (CITC)","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","25.2465641484926",2018,"","Communication and Information Technology Commission","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","21.6063517020545",2019,"","Communications andI nformation Technology Commision","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","51.3562300668366",2020,"","Communications andI nformation Technology Commision","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","49.0217764477366",2021,"","Communications andI nformation Technology Commision","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","49.9096292810288",2022,"","Communications & IT Commission","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","49.9499975694486",2023,"Results are based on unweighted survey data","Communications & IT Commission","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",18,"SAU","Saudi Arabia","17.7048832474631",2024,"Results are based on unweighted survey data using quota sampling","Communications, Space and Technology Commission","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",23,"AUS","Australia","80.3670696938088",2015,"Includes laptops.","Australian Bureau of Statistics","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",23,"AUS","Australia","78.7135152888079",2017,"Includes laptops.","Australian Bureau of Statistics","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","38.3408139977178",2017,"","State Statistical Committee","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","40.0580912863071",2018,"","State Statistical Committee","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","40.0247311827957",2019,"","State Statistical Committee","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","39.0266976744186",2020,"","State Statistical Committee","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","20.8449515479037",2021,"","State Statistical Committee","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","17.700099223476",2022,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","15.4370977220452",2023,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",25,"AZE","Azerbaijan","15.069848793187933",2025,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","28.2715335954061",2014,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","21.995185758997",2016,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","22.5172435835624",2017,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","18.5971931076879",2018,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","16.1726949361369",2019,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","20.9396282193031",2020,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","16.2090533177546",2021,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","16.3405677153219",2022,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","14.9682395230019",2023,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",27,"BRA","Brazil","11.6480228582056",2024,"","NIC.br","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",29,"BDI","Burundi","0.08255477589322552",2020,"","Institut National de la Statistique du Burundi ","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",30,"BEL","Belgium","37.165882433553",2018,"","Statistics Belgium","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",34,"BGD","Bangladesh","4.11100829373594",2021,"","Bangladesh Bureau of Statistics (BBS)","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",34,"BGD","Bangladesh","4.66456187665877",2023,"","Bangladesh Bureau of Statistics","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",34,"BGD","Bangladesh","2.6720287273595424",2024,"","Bangladesh Bureau of Statistics","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",35,"BHR","Bahrain","22.9329776774334",2018,"estimated based on 2018 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",35,"BHR","Bahrain","41.1759037522882",2020,"estimated based on 2020 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",35,"BHR","Bahrain","33.1817297488504",2021,"estimated based on 2021 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",35,"BHR","Bahrain","33.9688770401517",2022,"","Information and E-Government Authority","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",35,"BHR","Bahrain","34.3031203566122",2023,"","TRA bahrain","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",35,"BHR","Bahrain","38.1319942611191",2024,"","Telecommunications Regulatory Authority ","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",40,"BWA","Botswana","10.8922881972574",2014,"","Statistics Botswana","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",40,"BWA","Botswana","5.073475861035391",2024,"","Statistics Botswana","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",43,"BRN","Brunei Darussalam","25.3005232640362",2016,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",43,"BRN","Brunei Darussalam","18.3449440574203",2018,"","Authority for Info-communciations Technology Industry of Brunei Darussalam (AITI)","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",43,"BRN","Brunei Darussalam","25.240464344941987",2024,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",44,"BTN","Bhutan","6.61836430451347",2017,"PHCB","Ministry of Information and Communication in collaboration with National Statistics Bureau","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",44,"BTN","Bhutan","4.4825124910778",2021,"","MINISTRY OF INFORMATION AND COMMUNICATIONS","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",48,"KHM","Cambodia","2.62977635227974",2017,"","National Institute of Statistics, Minsitry of Planning, Cambodia","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",49,"CHL","Chile","26.7971209049697",2023,"","Instituto Nacional de Estadisticas","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",49,"CHL","Chile","22.389282029259842",2024,"","Instituto Nacional de Estadisticas","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
32061,"HHA422d_HHTotalHousehold","Desktop computer",,"%",53,"COL","Colombia","27.4836977703066",2014,"","Departamento Administrativo Nacional de Estadística - DANE","Refers to the proportion of households that have a computer. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
