"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",4,"ABW","Aruba","96.9065366972477",2010,"","Central Bureau of Statistics Aruba","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","24.4",2001,"Including cellular.","Statistics SA. Census.","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","54.6",2004,"Including cellular.","Statistics SA. Census.","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","86.7304739841995",2010,"","Statistics South Africa","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","94.9680976196224",2013,"","Statistics South Africa","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","92.0804504426957",2014,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","87.7622605994831",2015,"Total number of houeholds in RSA that have  a functional/working landline or cellular telephone within the household","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","9.9730069411358",2016,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","95.4017280088341",2017,"","Statistics South Africa","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","97.709177981688",2021,"","Statistics South Africa","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",7,"ZAF","South Africa","95.8793180178205",2022,"","Statistics South Africa","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",9,"AIA","Anguilla","82.3",2001,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",10,"ALB","Albania","98.2692395778122",2015,"","INSTAT (Institute of Statistics)","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",10,"ALB","Albania","95.1776038609365",2016,"","INSTAT (Institute of Statistics)","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",11,"DZA","Algeria","29.0",2000,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",11,"DZA","Algeria","30.0",2001,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",11,"DZA","Algeria","31.0",2002,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",11,"DZA","Algeria","0.0",2003,"","lOffice National des Statistiques","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",11,"DZA","Algeria","38.0",2004,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
13160,"xHH3","Households with telephone (fixed or mobile)",,"%",11,"DZA","Algeria","38.0",2005,"","","Refers to the proportion of households that have any type of telephone. This could be a fixed telephone line, a mobile (cellular) phone, or a smart phone."
