"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6"
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,6,"AFG","Afghanistan","Other",2018,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,6,"AFG","Afghanistan","Other",2019,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,6,"AFG","Afghanistan","Other",2020,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,6,"AFG","Afghanistan","Other",2021,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Price cap",2012,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Other",2015,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Other",2017,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Other",2018,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Other",2021,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Other",2022,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Other",2023,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,7,"ZAF","South Africa","Other",2024,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,8,"AGO","Angola","Price cap",2012,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,8,"AGO","Angola",,2020,"","","Traditional retail","Price ceiling set by the State","Rate of return regulation","Benchmarking of tariffs","Cost orientation (using cost models)","Price cap",
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,8,"AGO","Angola","Price cap",2021,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,8,"AGO","Angola",,2023,"","","Traditional retail","Price cap","Benchmarking of tariffs","Rate of return regulation","Price ceiling set by the State",,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,8,"AGO","Angola",,2024,"","","Traditional retail","Price ceiling set by the State","Rate of return regulation","Benchmarking of tariffs","Price cap",,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,10,"ALB","Albania","Other",2013,"","","Traditional retail",,,,,,
5368,"toTelecom_PriceRegulatedServices_Retail","Traditional retail services",,,10,"ALB","Albania","Other",2014,"","","Traditional retail",,,,,,
