"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",10,"ALB","Albania","67.576937547462",2019,"","INSTAT (Institute of Statistics)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",10,"ALB","Albania","71.3410625624882",2020,"","INSTAT (Institute of Statistics)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",10,"ALB","Albania","78.2815386793015",2021,"","INSTAT (Institute of Statistics)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",10,"ALB","Albania","82.5599900000417",2022,"","Institute of Statistics","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",10,"ALB","Albania","82.9716390426208",2023,"","Institute of Statistics","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",10,"ALB","Albania","86.06112471853493",2024,"","Institute of Statistics","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",18,"SAU","Saudi Arabia","93.0",2017,"","Communication and Information Technology Commission (CITC)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",18,"SAU","Saudi Arabia","99.0890974720701",2019,"","Communications andI nformation Technology Commision","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",18,"SAU","Saudi Arabia","98.7589367268965",2020,"","Communications andI nformation Technology Commision","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",18,"SAU","Saudi Arabia","99.2586727848437",2021,"","Communications andI nformation Technology Commision","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",18,"SAU","Saudi Arabia","99.7000002646913",2022,"","Communications & IT Commission","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",18,"SAU","Saudi Arabia","99.9120249679132",2023,"Results are based on unweighted survey data","Communications & IT Commission","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",25,"AZE","Azerbaijan","77.6951961790505",2020,"","State Statistical Committee","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",25,"AZE","Azerbaijan","80.8201010636594",2021,"","State Statistical Committee","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",25,"AZE","Azerbaijan","81.3595051617865",2022,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",25,"AZE","Azerbaijan","84.2698999097899",2023,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",25,"AZE","Azerbaijan","84.26989211591919",2025,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",29,"BDI","Burundi","12.940023472738632",2020,"","Institut National de la Statistique du Burundi ","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",30,"BEL","Belgium","73.4445368364896",2017,"","Statbel (Algemene Directie Statistiek - Statistics Belgium)
Statbel (Direction générale Statistique - Statistics Belgium)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",30,"BEL","Belgium","82.8164948537476",2020,"","Statistics Belgium (Statbel)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",30,"BEL","Belgium","90.0292265169415",2021,"only data for smart phone available","Statistics Belgium (Statbel)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",30,"BEL","Belgium","86.7281239038055",2022,"using smarthphone or cell phone for internet access in the last 3 months","Statistics Belgium (Statbel)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",30,"BEL","Belgium","87.2233112767937",2023,"online use","Statbel (Directorate General Statistics - Statistics Belgium)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",34,"BGD","Bangladesh","28.8675780119764",2023,"","Bangladesh Bureau of Statistics","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",34,"BGD","Bangladesh","45.26911105789449",2024,"","Bangladesh Bureau of Statistics","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",35,"BHR","Bahrain","99.5223880597017",2019,"estimated based on 2019 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",35,"BHR","Bahrain","100.0",2020,"estimated based on 2020 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",35,"BHR","Bahrain","99.3468321358588",2021,"estimated based on 2021 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",35,"BHR","Bahrain","100.0",2022,"Estimated based on 2022 residential survey","Information and E-Government Authority","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",35,"BHR","Bahrain","100.0",2023,"Estimated based on 2023 residential survey","TRA bahrain","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",35,"BHR","Bahrain","100.0",2024,"","TRA bahrain","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",37,"BLR","Belarus","93.8420574283169",2024,"in the last 12 months","National Statistical Committee of the Republic of Belarus (Belstat)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",40,"BWA","Botswana","60.742333106952685",2024,"","Statistics Botswana","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",43,"BRN","Brunei Darussalam","89.0",2022,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",43,"BRN","Brunei Darussalam","93.60244148712887",2024,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",44,"BTN","Bhutan","87.1621668616451",2021,"","MINISTRY OF INFORMATION AND COMMUNICATIONS","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",45,"BGR","Bulgaria","71.8387202342983",2021,"Individuals used the internet on a smart phone in the last 3 months","National Statistical Institute","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",47,"CAN","Canada","85.0",2022,"","Statistics Canada","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",48,"KHM","Cambodia","36.6786562383368",2017,"","National Institute of Statistics, Minsitry of Planning, Cambodia","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",53,"COL","Colombia","84.12862478520549",2024,"The survey does not inquire about this question. ","Departamento Administrativo Nacional de Estadistica (DANE)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",61,"CIV","Côte d'Ivoire","42.36273433333631",2024,"","ARTCI","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",66,"CYP","Cyprus","86.5661177464016",2019,"","STATISTICAL SERVICE OF CYPRUS","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",66,"CYP","Cyprus","88.8592372857152",2020,"","Statistical Service of Cyprus","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",67,"DEU","Germany","68.3069190547607",2019,"only MOBILE internet use by device","Statistisches Bundesamt (Destatis)","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",71,"DNK","Denmark","83.9625242983898",2017,"Refers to individuals who used a mobile phone or a smart phone to access the Internet in the last 3 months","Statistics Denmark ","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",71,"DNK","Denmark","91.2323790034827",2021,"individuals using a mobile phone for internet access","Statistics Denmark ","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",72,"DOM","Dominican Rep.","78.3898153071303",2022,"","Oficina Nacional de Estadistica","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",74,"EGY","Egypt","54.3672357787755",2019,"","Ministry of Communications and Information Technology","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",74,"EGY","Egypt","66.396484295846",2020,"","Ministry of Communications and Information Technology","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28228,"HHU271s_HHTotalIndividual","Individuals using a smart phone",,"%",74,"EGY","Egypt","65.9615188050967",2022,"","Ministry of Communications and Information Technology","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
