"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",17,"ARM","Armenia","2.76375361153308",2016,"","National statistical service of RA","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",17,"ARM","Armenia","4.12798399596916",2022,"","The Statistical Committee of the Republic of Armenia","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",17,"ARM","Armenia","2.79066878119724",2023,"","The Statistical Committee of the Republic of Armenia","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",18,"SAU","Saudi Arabia","37.931119800296",2016,"","CITC","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",18,"SAU","Saudi Arabia","56.0354352153213",2017,"","Communication and Information Technology Commission (CITC)","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",23,"AUS","Australia","63.2871287128713",2007,"","Australian Burau of Statistics","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",23,"AUS","Australia","58.3237657864524",2008,"","Australian Burau of Statistics","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",23,"AUS","Australia","56.7749160134378",2009,"","Australian Bureau os Statistics","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",23,"AUS","Australia","60.8054729571712",2011,"","Australian Bureau of Statistics","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
10316,"HHU4212ah_HHC15to24","15 to 24 years","HHU4212ah_HHTotalIndividual","%",23,"AUS","Australia","63.6097445982245",2013,"","Australian Bureau of Statistics","Individuals using the Internet, by location of use: At another persons home: 15 to 24 years"
