"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue 1","dataValue 2","dataYear","dataNote","dataSource","seriesDescription","dataValue 3","dataValue 4","dataValue"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,6,"AFG","Afghanistan","Fibre","Satellite",2018,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,6,"AFG","Afghanistan","Fibre","Satellite",2019,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,6,"AFG","Afghanistan","Satellite","Fibre",2020,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,6,"AFG","Afghanistan","Satellite","Fibre",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,6,"AFG","Afghanistan","Fibre","Satellite",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,7,"ZAF","South Africa","Submarine cable","Satellite",2015,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,7,"ZAF","South Africa","Fibre","Submarine cable",2018,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,7,"ZAF","South Africa","Fibre","Submarine cable",2019,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,7,"ZAF","South Africa","Fibre","Satellite",2021,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,7,"ZAF","South Africa","Fibre","Satellite",2022,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,7,"ZAF","South Africa","Submarine cable","Satellite",2023,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,7,"ZAF","South Africa","Fibre","Submarine cable",2024,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,8,"AGO","Angola","Submarine cable","Satellite",2021,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,8,"AGO","Angola","Satellite","Submarine cable",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,8,"AGO","Angola","Submarine cable","Satellite",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,10,"ALB","Albania","Other","Fibre",2017,"","","International landing points","Satellite","Submarine cable",
20631,"tpInternetConn_NumberLandingStations","International landing points",,,10,"ALB","Albania","Satellite","Submarine cable",2018,"","","International landing points","Fibre","Other",
20631,"tpInternetConn_NumberLandingStations","International landing points",,,10,"ALB","Albania","Fibre","Other",2019,"","","International landing points","Submarine cable","Satellite",
20631,"tpInternetConn_NumberLandingStations","International landing points",,,10,"ALB","Albania","Other","Fibre",2020,"","","International landing points","Satellite","Submarine cable",
20631,"tpInternetConn_NumberLandingStations","International landing points",,,10,"ALB","Albania","Other","Fibre",2021,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,10,"ALB","Albania","Other","Fibre",2022,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,10,"ALB","Albania","Submarine cable","Fibre",2023,"","","International landing points","Other",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,11,"DZA","Algeria","Submarine cable","Satellite",2015,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,11,"DZA","Algeria","Satellite","Submarine cable",2017,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,11,"DZA","Algeria","Submarine cable","Fibre",2018,"Pour les câbles sous-marins , il y a le SMW4 et le ALPAL2pour la fibre optique,lien directe de Peering entre l'opérateur historique et Tunisie Télécom","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,11,"DZA","Algeria","Submarine cable","Satellite",2022,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,11,"DZA","Algeria","Fibre","Submarine cable",2023,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,11,"DZA","Algeria","Fibre","Satellite",2024,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,14,"AND","Andorra",,,2015,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,14,"AND","Andorra",,,2018,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,14,"AND","Andorra",,,2021,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,14,"AND","Andorra",,,2022,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,14,"AND","Andorra",,,2023,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,14,"AND","Andorra",,,2024,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,16,"ARG","Argentina",,,2019,"Sobre los cables submarinos: hay 4 cables en un mismo punto geografico (Las Toninas)","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,16,"ARG","Argentina",,,2020,"Sobre los cables submarinos: hay 4 cables en un mismo punto geografico (Las Toninas)","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,16,"ARG","Argentina",,,2021,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,16,"ARG","Argentina",,,2022,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,16,"ARG","Argentina",,,2023,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,16,"ARG","Argentina",,,2024,"Sobre los cables submarinos hay 8 en un mismo punto geográfico (Las Toninas)","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2015,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2016,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2017,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2018,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2019,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2020,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2021,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2022,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2023,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,17,"ARM","Armenia",,,2024,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Fibre","Satellite",2015,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Fibre","Submarine cable",2016,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Fibre","Satellite",2017,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Fibre","Satellite",2018,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Fibre","Satellite",2019,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Fibre","Satellite",2020,"","","International landing points","Submarine cable",,
