"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5"
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,6,"AFG","Afghanistan","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,6,"AFG","Afghanistan","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,6,"AFG","Afghanistan","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,7,"ZAF","South Africa","Yes",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,7,"ZAF","South Africa","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,7,"ZAF","South Africa","Yes",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,7,"ZAF","South Africa","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,7,"ZAF","South Africa","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,7,"ZAF","South Africa","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,8,"AGO","Angola","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,10,"ALB","Albania","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,10,"ALB","Albania","No",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,10,"ALB","Albania","No",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,10,"ALB","Albania","No",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,10,"ALB","Albania","No",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,10,"ALB","Albania","No",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,11,"DZA","Algeria","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,11,"DZA","Algeria","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,11,"DZA","Algeria","Yes",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,11,"DZA","Algeria","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,11,"DZA","Algeria","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,11,"DZA","Algeria","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,14,"AND","Andorra","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,16,"ARG","Argentina","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,16,"ARG","Argentina","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,16,"ARG","Argentina","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,17,"ARM","Armenia","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,17,"ARM","Armenia","No",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,17,"ARM","Armenia","No",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,17,"ARM","Armenia","No",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,17,"ARM","Armenia","No",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,18,"SAU","Saudi Arabia","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,18,"SAU","Saudi Arabia","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,18,"SAU","Saudi Arabia","Yes",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,18,"SAU","Saudi Arabia","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,18,"SAU","Saudi Arabia","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,18,"SAU","Saudi Arabia","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,23,"AUS","Australia","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,23,"AUS","Australia","Yes",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,23,"AUS","Australia","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,23,"AUS","Australia","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,23,"AUS","Australia","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,24,"AUT","Austria","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,24,"AUT","Austria","No",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,24,"AUT","Austria","No",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,24,"AUT","Austria","No",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,24,"AUT","Austria","No",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,25,"AZE","Azerbaijan","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,25,"AZE","Azerbaijan","No",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,25,"AZE","Azerbaijan","No",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,25,"AZE","Azerbaijan","No",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,25,"AZE","Azerbaijan","No",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,25,"AZE","Azerbaijan","No",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,27,"BRA","Brazil","Yes",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,27,"BRA","Brazil","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,27,"BRA","Brazil","Yes",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,27,"BRA","Brazil","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,27,"BRA","Brazil","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,27,"BRA","Brazil","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,28,"BHS","Bahamas","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,28,"BHS","Bahamas","No",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,28,"BHS","Bahamas","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,29,"BDI","Burundi","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,29,"BDI","Burundi","No",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,29,"BDI","Burundi","No",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,29,"BDI","Burundi","No",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,30,"BEL","Belgium","Yes",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,30,"BEL","Belgium","Yes",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,30,"BEL","Belgium","Yes",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,30,"BEL","Belgium","Yes",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,30,"BEL","Belgium","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,30,"BEL","Belgium","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,31,"BEN","Benin","No",2016,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,31,"BEN","Benin","Yes",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,31,"BEN","Benin","Yes",2020,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,33,"BFA","Burkina Faso","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,33,"BFA","Burkina Faso","No",2018,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,33,"BFA","Burkina Faso","No",2019,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,34,"BGD","Bangladesh","No",2015,"","","",,,,,
19277,"trRegulatorResponsibilitiesM2M","Who regulates issues related to the Internet of Things?",,,34,"BGD","Bangladesh","Yes",2018,"","","",,,,,
