"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",4,"ABW","Aruba","33.52",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",6,"AFG","Afghanistan","4.39",2025,"","ITU Research; UNOPS","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",7,"ZAF","South Africa","5.62",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",8,"AGO","Angola","2.74",2025,"","Angolan Institute of Communications and ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",9,"AIA","Anguilla","55.0",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",10,"ALB","Albania","10.63",2025,"","Electronic and Postal Communications Authority; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",11,"DZA","Algeria","7.42",2025,"","Ministère de la Poste et des Télécommunications; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",14,"AND","Andorra","8.42",2025,"","Andorra Telecom SAU; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",16,"ARG","Argentina","8.29",2025,"","Ente Nacional de Comunicaciones and ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",17,"ARM","Armenia","5.56",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",18,"SAU","Saudi Arabia","12.53",2025,"","Communication and Information Technology Commission; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",20,"ATG","Antigua and Barbuda","42.59",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",23,"AUS","Australia","24.47",2025,"","Department of Infrastructure, Transport, Regional Development and Communications; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",24,"AUT","Austria","8.41",2025,"","Austrian Regulatory Authority for Broadcasting and Telecommunications; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",25,"AZE","Azerbaijan","7.06",2025,"","Ministry of Digital Development and Transport; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",27,"BRA","Brazil","4.96",2025,"","Agência Nacional de Telecomunicaçoes; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",28,"BHS","Bahamas","32.0",2025,"","Utilities Regulation and Competition Authority; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",29,"BDI","Burundi","5.87",2025,"","ITU Research; UNOPS","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",30,"BEL","Belgium","17.87",2025,"","Belgian Institute for Postal Services and Telecommunications; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",31,"BEN","Benin","6.42",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",32,"BMU","Bermuda","80.0",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",33,"BFA","Burkina Faso","0.16",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",34,"BGD","Bangladesh","2.49",2025,"","ITU Research; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
38964,"i271mb_low_1GB$","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB)",,"% GNI per capita",35,"BHR","Bahrain","25.53",2025,"","Telecommunications Regulatory Authority; IMF","Mobile broadband data and voice low-consumption basket total (70 min, 50 SMS, 1 GB), in USD"
