"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",6,"AFG","Afghanistan","5.9E-8",2017,"","Afghanistan Telecom Regulatory Authority","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",6,"AFG","Afghanistan","6.0E-8",2018,"","Afghanistan Telecom Regulatory Authority","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",6,"AFG","Afghanistan","4.0E-8",2019,"","Afghanistan Telecom Regulatory Authority","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",7,"ZAF","South Africa","1.4112E-4",2016,"","Independent Communication Authority of South Africa","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",7,"ZAF","South Africa","6.404E-5",2017,"","Independent Communication Authority of South Africa","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",7,"ZAF","South Africa","9.5891E-5",2018,"","Independent Communications Authority of South Africa","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",7,"ZAF","South Africa","9.346019681E-5",2019,"","Independent Communications Authority of South Africa","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",7,"ZAF","South Africa","1.16207806",2022,"","Independent Communications Authority of South Africa","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",7,"ZAF","South Africa","1.45670178",2023,"","Independent Communications Authority of South Africa","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",7,"ZAF","South Africa","1.9299554",2024,"","Independent Communications Authority of South Africa","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","7.335E-8",2011,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","1.509E-7",2012,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","3.1408E-7",2013,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","2.413E-6",2017,"","Angolan Institute of Communications","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","2.752E-6",2018,"","INACOM","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","1.3E-6",2021,"","Angolan Institute of Communications","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","1.58E-5",2023,"","Angolan Institute of Communications","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",8,"AGO","Angola","1.451E-5",2024,"","Angolan Institute of Communications","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",10,"ALB","Albania","5.206E-6",2014,"5'206 GB.","Minister of State for the Innovation and Public Administration","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",10,"ALB","Albania","1.8924E-5",2015,"18'924 GB.","Minister of State for the Innovation and Public Administration","Mobile-broadband Internet traffic (outside the country, roaming out)"
13069,"i136mwo","Mobile-broadband Internet traffic (outside the country, roaming out)",,"exabytes",10,"ALB","Albania","4.089E-5",2016,"43'776 GB.","AKEP","Mobile-broadband Internet traffic (outside the country, roaming out)"
