"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",6,"AFG","Afghanistan","4.0",2015,"","Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",6,"AFG","Afghanistan","10.0",2016,"","Afghanistan Telecom Regulatory Authority","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",6,"AFG","Afghanistan","6.25",2017,"As per the updated reports that figure is 5.88.##(Average of all operators for all quarters were taken).","Afghanistan Telecom Regulatory Authority","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",6,"AFG","Afghanistan","4.28",2018,"As per the updated reports that figure is 3.474##(Average of all operators for all quarters were taken).","Afghanistan Telecom Regulatory Authority","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",6,"AFG","Afghanistan","3.44",2019,"(Average of all operators for all quarters were taken).","Afghanistan Telecom Regulatory Authority","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",6,"AFG","Afghanistan","3.0",2022,">2<4","Afghanistan Telecommunication Regulatory Authority.","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","0.76",2013,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","0.9",2014,"used simple average","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","0.9",2015,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","1.8",2016,"","Independent Communication Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","1.95",2017,"","Independent Communication Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","1.94",2018,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","2.18",2019,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","0.78",2020,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","2.98",2021,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","1.45",2022,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
12656,"i146u","Mobile-cellular unsuccessful call ratio",,"%",7,"ZAF","South Africa","0.95",2023,"","Independent Communications Authority of South Africa","Refers to the ratio of unsuccessful mobile-cellular calls to the total number of mobile-cellular call attempts in the given year"
