"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
4262,"i965m","Multichannel TV subscriptions",,"count",4,"ABW","Aruba","25523.0",2006,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",4,"ABW","Aruba","26122.0",2007,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",4,"ABW","Aruba","26953.0",2008,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",17,"ARM","Armenia","3129.0",2010,"","Ministry of Transport and Communication. ","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","1303000.0",2000,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","1400000.0",2001,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","1420000.0",2002,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","1462000.0",2003,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","1581000.0",2004,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","1673000.0",2005,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","1730000.0",2006,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","2080000.0",2007,"","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",23,"AUS","Australia","2235000.0",2008,"Australian Film Commission, Get The Picture  www.afc.gov.au/gtp.","Australian Pay TV News. Optus, Foxtel and Austar subscribers. ABA.","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",24,"AUT","Austria","2961000.0",2006,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",24,"AUT","Austria","3023000.0",2007,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",24,"AUT","Austria","3439000.0",2008,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",27,"BRA","Brazil","4176396.0",2005,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",27,"BRA","Brazil","4579370.0",2006,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",27,"BRA","Brazil","5348571.0",2007,"","","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",30,"BEL","Belgium","3999372.0",2004,"Cable only.","Institut belge des services postaux et des télécommunications (IBPT).","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",30,"BEL","Belgium","4003742.0",2005,"Cable only.","Institut belge des services postaux et des télécommunications (IBPT).","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",30,"BEL","Belgium","4025051.0",2006,"Cable only.","Institut belge des services postaux et des télécommunications (IBPT).","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
4262,"i965m","Multichannel TV subscriptions",,"count",30,"BEL","Belgium","3978708.0",2007,"Cable only.","Institut belge des services postaux et des télécommunications (IBPT).","Refers to services that provide additional TV programming beyond free-to-air terrestrial channels"
