"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,6,"AFG","Afghanistan","Yes",2018,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,6,"AFG","Afghanistan","Yes",2019,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,6,"AFG","Afghanistan","Yes",2020,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,6,"AFG","Afghanistan","Yes",2021,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,6,"AFG","Afghanistan","Yes",2024,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,7,"ZAF","South Africa","Yes",2018,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,7,"ZAF","South Africa","Yes",2019,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,7,"ZAF","South Africa","Yes",2021,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,7,"ZAF","South Africa","Yes",2022,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,7,"ZAF","South Africa","Yes",2023,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,7,"ZAF","South Africa","Yes",2024,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,8,"AGO","Angola","No",2021,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,8,"AGO","Angola","Yes",2023,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,8,"AGO","Angola","Yes",2024,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2015,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2016,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2017,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2018,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2019,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2020,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2021,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2022,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2023,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,10,"ALB","Albania","Yes",2024,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,11,"DZA","Algeria","No",2015,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,11,"DZA","Algeria","Yes",2016,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,11,"DZA","Algeria","Yes",2022,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,11,"DZA","Algeria","Yes",2023,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,11,"DZA","Algeria","Yes",2024,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,14,"AND","Andorra","Yes",2015,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,14,"AND","Andorra","No",2018,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,14,"AND","Andorra","No",2021,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,14,"AND","Andorra","No",2022,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,14,"AND","Andorra","No",2023,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,14,"AND","Andorra","No",2024,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","No",2015,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2016,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2017,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2019,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2020,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2021,"En Argentina se requieren autorizaciones del regulador para estaciones terrenas satelitales y para las estaciones de amarre de cables submarinos.","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2022,"En Argentina se requieren autorizaciones del regulador para estaciones terrenas satelitales y para las estaciones de amarre de cables submarinos.","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2023,"En Argentina se requieren autorizaciones del regulador para estaciones terrenas satelitales y para las estaciones de amarre de cables submarinos.","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,16,"ARG","Argentina","Yes",2024,"No hay una norma específica que regule el acceso a esas instalaciones.","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","No",2015,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","Yes",2016,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","Yes",2017,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","Yes",2018,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","No",2019,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","No",2020,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","No",2021,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","No",2022,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","No",2023,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,17,"ARM","Armenia","No",2024,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,18,"SAU","Saudi Arabia","Yes",2015,"","","National policy or regulation that mandates access to international facilities/landing points "
20369,"tpInternetConn_international_Policy","National regulation that mandates access to international facilities",,,18,"SAU","Saudi Arabia","Yes",2016,"","","National policy or regulation that mandates access to international facilities/landing points "
