"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",8,"AGO","Angola","27.0",2021,"","Angolan Institute of Communications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",8,"AGO","Angola","27.0",2022,"we have not complete the complilation of this data","Angolan Institute of Communications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",8,"AGO","Angola","12.0",2024,"","Angolan Institute of Communications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",10,"ALB","Albania","5.0",2022,"","Ministry of Infrastructure and Energy","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",10,"ALB","Albania","5.0",2023,"","Ministry of Infrastructure and Energy","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",10,"ALB","Albania","5.0",2024,"Regional Roaming Agreement in Western Balkan","Ministry of Infrastructure and Energy","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",11,"DZA","Algeria","0.0",2021,"","Ministère de la Poste et des Télécommunications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",11,"DZA","Algeria","0.0",2022,"","Ministère de la Poste et des Télécommunications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",11,"DZA","Algeria","0.0",2023,"","Ministère de la Poste et des Télécommunications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",11,"DZA","Algeria","0.0",2024,"","Ministère de la Poste et des Télécommunications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",14,"AND","Andorra","174.0",2024,"","Andorra Telecom SAU","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",17,"ARM","Armenia","0.0",2021,"","Ministry of High-Tech Industry of Armenia","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",17,"ARM","Armenia","0.0",2022,"Indicator not available.","Ministry of High-Tech Industry of Armenia","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",17,"ARM","Armenia","0.0",2023,"","Ministry of High-Tech Industry of Armenia","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",17,"ARM","Armenia","0.0",2024,"Indicator not available.","Ministry of High-Tech Industry of Armenia","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",24,"AUT","Austria","31.0",2018,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Number of countries with which there is a country-level roaming agreement"
34244,"i133crm","Number of countries with which there is a country-level roaming agreement",,"count",24,"AUT","Austria","31.0",2019,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Number of countries with which there is a country-level roaming agreement"
