"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",6,"AFG","Afghanistan","158.0",2022,"average","Afghanistan Telecommunication Regulatory Authority.","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",8,"AGO","Angola","193.0",2021,"","Angolan Institute of Communications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",8,"AGO","Angola","193.0",2022,"we have not complete the complilation of this data","Angolan Institute of Communications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",8,"AGO","Angola","193.0",2023,"","Angolan Institute of Communications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",8,"AGO","Angola","193.0",2024,"","Angolan Institute of Communications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",10,"ALB","Albania","191.0",2024,"","Ministry of Infrastructure and Energy","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",11,"DZA","Algeria","112.0",2005,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",11,"DZA","Algeria","129.0",2006,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",11,"DZA","Algeria","133.0",2007,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",11,"DZA","Algeria","203.0",2021,"","Ministère de la Poste et des Télécommunications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",11,"DZA","Algeria","203.0",2022,"veuillez changer la valeur de l'année 2021 par 203","Ministère de la Poste et des Télécommunications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",11,"DZA","Algeria","204.0",2023,"","Ministère de la Poste et des Télécommunications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",11,"DZA","Algeria","206.0",2024,"","Ministère de la Poste et des Télécommunications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",14,"AND","Andorra","100.0",2007,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",14,"AND","Andorra","100.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",14,"AND","Andorra","465.0",2024,"","Andorra Telecom SAU","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",16,"ARG","Argentina","3.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",17,"ARM","Armenia","202.0",2020,"","Ministry of High-Tech Industry of Armenia","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",17,"ARM","Armenia","199.0",2021,"","Ministry of High-Tech Industry of Armenia","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",17,"ARM","Armenia","199.0",2022,"","Ministry of High-Tech Industry of Armenia","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",17,"ARM","Armenia","199.0",2023,"","Ministry of High-Tech Industry of Armenia","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",17,"ARM","Armenia","199.0",2024,"","Ministry of High-Tech Industry of Armenia","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",18,"SAU","Saudi Arabia","164.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",20,"ATG","Antigua and Barbuda","130.0",2006,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",25,"AZE","Azerbaijan","167.0",2020,"","Ministry of Digital Development and Transport","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",25,"AZE","Azerbaijan","182.0",2021,"","Ministry of Digital Development and Transport","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",25,"AZE","Azerbaijan","182.0",2022,"","Ministry of Digital Development and Transport","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",25,"AZE","Azerbaijan","183.0",2023,"","Ministry of Digital Development and Transport","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",25,"AZE","Azerbaijan","216.0",2024,"","Ministry of Digital Development and Transport","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",28,"BHS","Bahamas","74.0",2006,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",28,"BHS","Bahamas","80.0",2007,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",28,"BHS","Bahamas","101.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",29,"BDI","Burundi","3.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",29,"BDI","Burundi","4.0",2020,"","Agence de Régulation et de Contrôle des Télécommunications ","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",29,"BDI","Burundi","7.0",2022,"","Agence de Régulation et de Contrôle des Télécommunications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",29,"BDI","Burundi","7.0",2023,"","Agence de Régulation et de Contrôle des Télécommunications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",31,"BEN","Benin","260.0",2021,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",31,"BEN","Benin","275.0",2022,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",31,"BEN","Benin","275.0",2023,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",31,"BEN","Benin","278.0",2024,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",32,"BMU","Bermuda","227.0",2024,"","Bermuda Government Dept of Energy","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",34,"BGD","Bangladesh","197.0",2023,"June, 2024","Bangladesh Telecommunication Regulatory Commission","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",34,"BGD","Bangladesh","197.0",2024,"December, 2024","Bangladesh Telecommunication Regulatory Commission","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",37,"BLR","Belarus","190.0",2020,"","Ministry of Communications and Informatization","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",37,"BLR","Belarus","223.0",2021,"","Ministry of Communications and Informatization","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",37,"BLR","Belarus","223.0",2022,"","Ministry of Communications and Informatization","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",37,"BLR","Belarus","223.0",2023,"","Ministry of Communications and Informatization","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",37,"BLR","Belarus","224.0",2024,"","Ministry of Communications and Informatization","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",39,"BOL","Bolivia (Plurinational State of)","125.0",2024,"","Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",40,"BWA","Botswana","130.0",2006,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",40,"BWA","Botswana","150.0",2007,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",40,"BWA","Botswana","170.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",40,"BWA","Botswana","596.0",2020,"","Botswana Communications Regulatory Authority (BOCRA)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",40,"BWA","Botswana","596.0",2021,"","Botswana Communications Regulatory Authority (BOCRA)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",40,"BWA","Botswana","596.0",2022,"","Botswana Communications Regulatory Authority (BOCRA)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",40,"BWA","Botswana","797.0",2024,"","Botswana Communications Regulatory Authority (BOCRA)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",43,"BRN","Brunei Darussalam","121.0",2006,"2006. Source: DST Group and B-Mobile Communications Sdn Bhd (estimated).","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",43,"BRN","Brunei Darussalam","156.0",2020,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",43,"BRN","Brunei Darussalam","156.0",2021,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",43,"BRN","Brunei Darussalam","173.0",2022,"This increase is in accordance to the data provided by UNN, infrastructure provider.","Authority for Info-communications Technology Industry of Brunei Darussalam","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",43,"BRN","Brunei Darussalam","177.0",2023,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",43,"BRN","Brunei Darussalam","181.0",2024,"This increase is in accordance with the data provided by UNN, infrastructure provider.","Authority for Info-communications Technology Industry of Brunei Darussalam","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",44,"BTN","Bhutan","3.6",2020,"in GB","Ministry of Information & Communications","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",44,"BTN","Bhutan","253.0",2022,"BTL: 182#TICL: 71","Government Technology Agency","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",44,"BTN","Bhutan","291.0",2023,"BTL","Government Technology Agency","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",44,"BTN","Bhutan","371.0",2024,"BTL-301#TICPL-70","Government Technology Agency","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",45,"BGR","Bulgaria","162.0",2004,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",45,"BGR","Bulgaria","175.0",2005,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",45,"BGR","Bulgaria","187.0",2006,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",45,"BGR","Bulgaria","182.0",2007,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",45,"BGR","Bulgaria","178.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","68.0",2006,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","72.0",2007,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","72.0",2008,"","","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","194.0",2018,"","Telecommunication Regulator of Cambodia (TRC)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","194.0",2019,"","Telecommunication Regulator of Cambodia (TRC)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","194.0",2020,"","Telecommunication Regulator of Cambodia (TRC)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","209.0",2021,"","Telecommunication Regulator of Cambodia (TRC)","Number of countries with which there is an operator-level roaming agreement"
4248,"i133rm","Number of countries with which there is an operator-level roaming agreement",,"count",48,"KHM","Cambodia","194.0",2022,"","Telecommunication Regulator of Cambodia (TRC)","Number of countries with which there is an operator-level roaming agreement"
