"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",10,"ALB","Albania","29.5934166446266",2021,"","INSTAT (Institute of Statistics)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",34,"BGD","Bangladesh","52.0688969091697",2021,"","Bangladesh Bureau of Statistics (BBS)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",34,"BGD","Bangladesh","55.3484047274161",2023,"","Bangladesh Bureau of Statistics","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",35,"BHR","Bahrain","29.1927552128983",2018,"","Telecommunications Regulatory Authority (TRA)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",45,"BGR","Bulgaria","15.899920451805",2021,"Age 16 - 24, There was no need to buy online in the last 3 months","National Statistical Institute","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",47,"CAN","Canada","11.0",2022,"","Statistics Canada","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",61,"CIV","Côte d'Ivoire","49.5417279998476",2019,"","ARTCI","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",61,"CIV","Côte d'Ivoire","26.2846764127444",2022,"","ARTCI","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",62,"CRI","Costa Rica","23.226772646887",2023,"","Instituto Nacional de Estadisticas y Censos","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",67,"DEU","Germany","8.33570291289191",2021,"acc. to EU definition: children = persons < 16 years","Statistisches Bundesamt (Destatis)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",73,"ESP","Spain","15.208000542775",2017,"","Instituto Nacional de Estadística (INE)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",78,"FRA","France","15.5065486943669",2021,"","Insee","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",107,"HRV","Croatia","1.00790083364686",2021,"","Croatian Bureau of Statistics","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",116,"IRN","Iran (Islamic Republic of)","35.3954812843217",2021,"","Statistical Centre of Iran","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",117,"IRQ","Iraq","46.0575431232999",2022,"","Authority of Statistics and Geographic Information Systems","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",128,"KOR","Korea (Rep. of)","10.3710838211466",2017,"","Ministriy of Sceience and ICT(MSIT)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",128,"KOR","Korea (Rep. of)","9.571654938286",2018,"","Ministriy of Sceience and ICT(MSIT)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",128,"KOR","Korea (Rep. of)","7.33404611904093",2019,"","Ministriy of Sceience and ICT(MSIT)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",128,"KOR","Korea (Rep. of)","8.04301936858084",2020,"","Ministriy of Sceience and ICT(MSIT)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",128,"KOR","Korea (Rep. of)","6.44225434395733",2021,"","Ministriy of Sceience and ICT(MSIT)","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",128,"KOR","Korea (Rep. of)","4.39581178473565",2022,"","Ministry of Science and ICT","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
30750,"HHU23a_HHC15to24","15 to 24 years","HHU23a_HHTotalIndividual","%",128,"KOR","Korea (Rep. of)","4.07495966242495",2023,"","Ministry of Science and ICT","Number of individuals who did not purchase goods or services online in the last three months, by reason: Not interested: 15 to 24 years"
