"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",7,"ZAF","South Africa","76.0",2020,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",7,"ZAF","South Africa","76.0",2021,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",7,"ZAF","South Africa","48.0",2022,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",7,"ZAF","South Africa","44.0",2023,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",7,"ZAF","South Africa","60.0",2024,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",8,"AGO","Angola","10.0",2021,"","Angolan Institute of Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",8,"AGO","Angola","13.71",2023,"","Angolan Institute of Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",8,"AGO","Angola","13.71",2024,"","Angolan Institute of Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",10,"ALB","Albania","86.5",2022,"","Ministry of Infrastructure and Energy","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",10,"ALB","Albania","5.0",2023,"184 Operators","Ministry of Infrastructure and Energy","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",10,"ALB","Albania","3.9",2024,"","Ministry of Infrastructure and Energy","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",11,"DZA","Algeria","2.0",2022,"","Ministère de la Poste et des Télécommunications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",17,"ARM","Armenia","35.8",2020,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",17,"ARM","Armenia","35.6",2021,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",17,"ARM","Armenia","13.36",2022,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",17,"ARM","Armenia","10.29",2023,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",17,"ARM","Armenia","12.02",2024,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",23,"AUS","Australia","10.9",2020,"Source:  ACCC NBN Wholesale Market Indicators Dec 2020 and ACCC Broadband performance data - December 2020##https://www.accc.gov.au/regulated-infrastructure/communications/national-broadband-network-nbn/nbn-wholesale-market-indicators-report/previous-reports ##https://www.accc.gov.au/consumers/internet-landline-services/broadband-performance-data/broadband-performance-data-december-2020####Weighted average latency of top five RSP. These top five make up over 92 per cent of the total residential fixed broadband market","Department of Infrastructure, Transport, Regional Development and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",23,"AUS","Australia","10.32",2021,"Source:  ACCC NBN Wholesale Market Indicators Dec 2021 and ACCC Broadband performance data - Dec 2021##https://www.accc.gov.au/regulated-infrastructure/communications/national-broadband-network-nbn/nbn-wholesale-market-indicators-report/previous-reports ##https://www.accc.gov.au/consumers/internet-landline-services/broadband-performance-data/broadband-performance-data-december-2021####Weighted average latency of top four RSP. These top five make up over 89 per cent of the total residential fixed broadband market","Department of Infrastructure, Transport, Regional Development and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",23,"AUS","Australia","12.15",2022,"Information for is based on measurement results collected in May 2023 ##Source:  ACCC NBN Wholesale Market Indicators Dec 2022 and ACCC Broadband performance data - 2023#https://www.accc.gov.au/regulated-infrastructure/communications/national-broadband-network-nbn/nbn-wholesale-market-indicators-report/previous-reports #https://www.accc.gov.au/consumers/telecommunications-and-internet/broadband-performance-data##Weighted average latency of top five RSP. These top five make up over 92 per cent of the total residential fixed broadband market","Department of Infrastructure, Transport, Regional Development and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",23,"AUS","Australia","11.05",2023,"Information for is based on measurement results collected in May 2024 . Revised 2025.##Source:  ACCC NBN Wholesale Market Indicators Dec 2023 and ACCC Broadband performance data - 2024#https://www.accc.gov.au/regulated-infrastructure/communications/national-broadband-network-nbn/nbn-wholesale-market-indicators-report/previous-reports #https://www.accc.gov.au/consumers/telecommunications-and-internet/broadband-performance-data##Weighted average latency of top five RSP. These top five make up over 91 per cent of the total residential fixed broadband market","Department of Infrastructure, Transport, Regional Development and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",23,"AUS","Australia","10.19",2024,"Information for is based on measurement results collected in May 2025. ##Source:  ACCC NBN Wholesale Market Indicators and ACCC Broadband performance data.","Department of Infrastructure, Transport, Regional Development and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",25,"AZE","Azerbaijan","27.0",2020,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",25,"AZE","Azerbaijan","7.0",2021,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",25,"AZE","Azerbaijan","5.0",2022,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",25,"AZE","Azerbaijan","5.0",2023,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",25,"AZE","Azerbaijan","5.0",2024,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",27,"BRA","Brazil","26.49",2022,"Data from Dec/2022. Includes only providers covered by the Quality Regulation (RQUAL).","Agência Nacional de Telecomunicaçőes","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",27,"BRA","Brazil","23.53",2023,"Data from Dec/2023. Includes only providers covered by the Quality Regulation (RQUAL).","Agência Nacional de Telecomunicaçőes","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",27,"BRA","Brazil","21.19",2024,"Data from Dec/2024. Includes only providers covered by the Quality Regulation (RQUAL).","Agência Nacional de Telecomunicaçőes","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",29,"BDI","Burundi","0.0",2020,"","Agence de Régulation et de Contrôle des Télécommunications ","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",29,"BDI","Burundi","500.0",2021,"","Agence de Régulation et de Contrôle des Télécommunications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",29,"BDI","Burundi","500.0",2022,"","Agence de Régulation et de Contrôle des Télécommunications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",29,"BDI","Burundi","500.0",2023,"AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS","Agence de Régulation et de Contrôle des Télécommunications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",31,"BEN","Benin","150.0",2022,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",31,"BEN","Benin","120.0",2023,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",31,"BEN","Benin","36.0",2024,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",34,"BGD","Bangladesh","6.0",2020,"June, 2021","Bangladesh Telecommunication Regulatory Commission","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",34,"BGD","Bangladesh","5.0",2021,"June, 2022","Bangladesh Telecommunication Regulatory Commission","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",34,"BGD","Bangladesh","4.0",2022,"June, 2023","Bangladesh Telecommunication Regulatory Commission","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",34,"BGD","Bangladesh","4.0",2023,"June, 2024","Bangladesh Telecommunication Regulatory Commission","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",34,"BGD","Bangladesh","4.0",2024,"December, 2024","Bangladesh Telecommunication Regulatory Commission","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",35,"BHR","Bahrain","3.26",2020,"","Telecommunications Regulatory Authority ","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",35,"BHR","Bahrain","3.9",2021,"","Telecommunications Regulatory Authority","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",35,"BHR","Bahrain","3.5",2022,"","Telecommunications Regulatory Authority","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",35,"BHR","Bahrain","6.0",2023,"","Telecommunications Regulatory Authority","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",35,"BHR","Bahrain","5.0",2024,"","Telecommunications Regulatory Authority","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",37,"BLR","Belarus","12.63",2022,"","Ministry of Communications and Informatization","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",39,"BOL","Bolivia (Plurinational State of)","19.15",2024,"","Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",40,"BWA","Botswana","65.35",2020,"Value for largest  operator","Botswana Communications Regulatory Authority (BOCRA)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",40,"BWA","Botswana","5.0",2021,"","Botswana Communications Regulatory Authority (BOCRA)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",40,"BWA","Botswana","5.0",2022,"","Botswana Communications Regulatory Authority (BOCRA)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",40,"BWA","Botswana","10.0",2024,"","Botswana Communications Regulatory Authority (BOCRA)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",42,"MMR","Myanmar","36.0",2021,"","Posts and Telecommunications Department, Ministry of Transport and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",42,"MMR","Myanmar","5.0",2022,"","Posts and Telecommunications Department, Ministry of Transport and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34241,"i147l","Packet Latency for Fixed Broadband",,"milliseconds",42,"MMR","Myanmar","5.0",2023,"","Posts and Telecommunications Department, Ministry of Transport and Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
