"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",6,"AFG","Afghanistan","10.0",2022,"","Afghanistan Telecommunication Regulatory Authority.","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",7,"ZAF","South Africa","31.0",2020,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",7,"ZAF","South Africa","33.0",2021,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",7,"ZAF","South Africa","34.0",2022,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",7,"ZAF","South Africa","34.0",2023,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",7,"ZAF","South Africa","34.0",2024,"","Independent Communications Authority of South Africa","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",8,"AGO","Angola","47.11",2023,"","Angolan Institute of Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",8,"AGO","Angola","46.7",2024,"","Angolan Institute of Communications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",10,"ALB","Albania","35.0",2022,"","Ministry of Infrastructure and Energy","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",10,"ALB","Albania","18.59",2023,"2 Operators","Ministry of Infrastructure and Energy","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",10,"ALB","Albania","18.41",2024,"","Ministry of Infrastructure and Energy","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",14,"AND","Andorra","11.74",2022,"","Andorra Telecom SAU","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",14,"AND","Andorra","8.64",2023,"","Andorra Telecom SAU","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",14,"AND","Andorra","8.64",2024,"","Andorra Telecom SAU","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",17,"ARM","Armenia","37.12",2020,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",17,"ARM","Armenia","36.72",2021,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",17,"ARM","Armenia","36.79",2022,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",17,"ARM","Armenia","34.44",2023,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",17,"ARM","Armenia","31.62",2024,"","Ministry of High-Tech Industry of Armenia","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",25,"AZE","Azerbaijan","25.0",2020,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",25,"AZE","Azerbaijan","21.0",2021,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",25,"AZE","Azerbaijan","20.0",2022,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",25,"AZE","Azerbaijan","19.0",2023,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",25,"AZE","Azerbaijan","19.0",2024,"","Ministry of Digital Development and Transport","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",27,"BRA","Brazil","40.64",2022,"Data from Dec/2022. Includes only providers covered by the Quality Regulation (RQUAL).","Agência Nacional de Telecomunicaçőes","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",27,"BRA","Brazil","36.6",2023,"Data from Dec/2023. Includes only providers covered by the Quality Regulation (RQUAL).","Agência Nacional de Telecomunicaçőes","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",27,"BRA","Brazil","36.39",2024,"Data from Dec/2023. Includes only providers covered by the Quality Regulation (RQUAL).","Agência Nacional de Telecomunicaçőes","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",29,"BDI","Burundi","0.0",2020,"","Agence de Régulation et de Contrôle des Télécommunications ","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",29,"BDI","Burundi","0.0",2021,"","Agence de Régulation et de Contrôle des Télécommunications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",29,"BDI","Burundi","0.0",2022,"","Agence de Régulation et de Contrôle des Télécommunications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",29,"BDI","Burundi","0.0",2023,"AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS","Agence de Régulation et de Contrôle des Télécommunications","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",31,"BEN","Benin","1400.0",2022,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
34242,"i146mwl","Packet Latency for Mobile Broadband",,"milliseconds",31,"BEN","Benin","1400.0",2023,"","Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)","The round trip time taken for a packet to reach its destination and return to the source (in milliseconds), within the country. It is calculated as the total packet latency measured in ms divided by the number of tests"
