"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",7,"ZAF","South Africa","4708668.0",2020,"","Independent Communications Authority of South Africa","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",7,"ZAF","South Africa","2728831.0",2021,"","Independent Communications Authority of South Africa","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",7,"ZAF","South Africa","1.9723635E7",2022,"","Independent Communications Authority of South Africa","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",7,"ZAF","South Africa","1.6162291E7",2023,"2021 figure is 19686644","Independent Communications Authority of South Africa","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",7,"ZAF","South Africa","3176583.0",2024,"Still validating the figure","Independent Communications Authority of South Africa","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",8,"AGO","Angola","1512249.92",2021,"","Angolan Institute of Communications","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",8,"AGO","Angola","5832543.0",2023,"","Angolan Institute of Communications","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",8,"AGO","Angola","8072837.18",2024,"","Angolan Institute of Communications","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",10,"ALB","Albania","5472295.0",2021,"","Ministry of Infrastructure and Energy","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",10,"ALB","Albania","1.0284485E7",2022,"","Ministry of Infrastructure and Energy","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",10,"ALB","Albania","1.1748926E7",2023,"","Ministry of Infrastructure and Energy","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",10,"ALB","Albania","1.0563335E7",2024,"","Ministry of Infrastructure and Energy","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",11,"DZA","Algeria","0.0",2021,"","Ministère de la Poste et des Télécommunications","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",11,"DZA","Algeria","0.0",2022,"","Ministère de la Poste et des Télécommunications","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",11,"DZA","Algeria","0.0",2023,"","Ministère de la Poste et des Télécommunications","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",11,"DZA","Algeria","0.0",2024,"","Ministère de la Poste et des Télécommunications","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",14,"AND","Andorra","5194836.0",2023,"","Andorra Telecom SAU","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",14,"AND","Andorra","5233555.0",2024,"","Andorra Telecom SAU","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
34246,"i1334wma","Roaming by home subscribers abroad (outbound roaming on CLRAs)",,"minutes",17,"ARM","Armenia","0.0",2021,"","Ministry of High-Tech Industry of Armenia","Roaming by home subscribers abroad (outbound roaming on CLRAs)"
