"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
13065,"i147t","Service activation time for fixed-broadband service",,"days",6,"AFG","Afghanistan","7.0",2015,"","Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",6,"AFG","Afghanistan","7.0",2016,"","Afghanistan Telecom Regulatory Authority","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",6,"AFG","Afghanistan","6.0",2017,"","Afghanistan Telecom Regulatory Authority","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",6,"AFG","Afghanistan","3.0",2018,"","Afghanistan Telecom Regulatory Authority","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",6,"AFG","Afghanistan","2.0",2019,"It is 2 hours","Afghanistan Telecom Regulatory Authority","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","13.75",2013,"","Independent Communications Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","6.25",2014,"used simple average","Independent Communications Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","14.0",2015,"","Independent Communications Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","34.7",2016,"","Independent Communication Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","5426.0",2017,"","Independent Communication Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","34.0",2018,"","Independent Communications Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","34.0",2019,"","Independent Communications Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","26.0",2020,"","Independent Communications Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",7,"ZAF","South Africa","10.0",2021,"","Independent Communications Authority of South Africa","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","16.0",2011,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","20.0",2012,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","12.0",2013,"","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","4.0",2014,"","Angolan Institute of Communications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","3.0",2015,"","Angolan Institute of Communications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","4.0",2016,"","Angolan Institute of Communications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","3.0",2017,"","Angolan Institute of Communications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","3.0",2018,"","INACOM","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","3.0",2019,"","Angolan Institute of Communications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","6.0",2020,"","Angolan Institute of Communications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",8,"AGO","Angola","6.0",2021,"","Angolan Institute of Communications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2012,"","National Agency on Information Society","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2013,"","National Agency on Information Society","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2014,"","Minister of State for the Innovation and Public Administration","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2015,"","Minister of State for the Innovation and Public Administration","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2016,"","AKEP","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2017,"","Ministry of Infrastructure and Energy","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2018,"","Ministry of Infrastructure and Energy","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2019,"","Ministry of Infrastructure and Energy","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2020,"","Ministry of Infrastructure and Energy","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",10,"ALB","Albania","1.0",2021,"","Ministry of Infrastructure and Energy","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",11,"DZA","Algeria","15.0",2015,"","Ministère de la  Poste et des Technologies de l'Information et de la Communication","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",11,"DZA","Algeria","43.0",2016,"","Ministère de la Poste, des Télécommunications, des Technologies et du Numérique","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",11,"DZA","Algeria","1.0",2017,"","Ministère de la Poste et des Télécommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",11,"DZA","Algeria","1.0",2018,"","Ministère de la Poste et des Télécommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",11,"DZA","Algeria","1.0",2019,"","Ministère de la Poste et des Télécommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",11,"DZA","Algeria","1.0",2020,"","Ministère de la Poste et des Télécommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",11,"DZA","Algeria","1.0",2021,"","Ministère de la Poste et des Télécommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2011,"","Ministry of Transport and Communication of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2012,"","Ministry of Transport and Communication of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2013,"","Ministry of Transport and Communication of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","4.0",2014,"","Ministry of Transport and Communication of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","4.0",2015,"","Ministry of Transport and Communication of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2016,"","Ministry of Transport, Communication and Information Technologies of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2017,"","Ministry of Transport, Communication and Information Technologies of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2018,"","Ministry of High-Tech Industry of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2019,"","Ministry of High-Tech Industry of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2020,"","Ministry of High-Tech Industry of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",17,"ARM","Armenia","3.0",2021,"","Ministry of High-Tech Industry of Armenia","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",18,"SAU","Saudi Arabia","10.0",2014,"","Communication and Information Technology Commission","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",18,"SAU","Saudi Arabia","10.0",2015,"","Communication and Information Technology Commission","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",18,"SAU","Saudi Arabia","7.0",2016,"","Communications and Information Technology Commission (CITC)","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",18,"SAU","Saudi Arabia","7.0",2017,"","Communications and Information Technology Commission (CITC)","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",18,"SAU","Saudi Arabia","2.8",2018,"","CITC","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",18,"SAU","Saudi Arabia","2.9",2019,"","Communication and Information Technology Commission","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",20,"ATG","Antigua and Barbuda","2.0",2012,"","Telecom Divison/Ministry of Telecommunications, Science & Technology","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2014,"Average for DSL subscriptions","Austrian Regulatory Authority for Broadcasting and Telecommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2015,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2016,"","RTR GmbH","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2017,"","RTR GmbH","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2018,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2019,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2020,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",24,"AUT","Austria","10.0",2021,"","Austrian Regulatory Authority for Broadcasting and Telecommunications","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2012,"","Ministry of Communications and Information Technologies (MC&IT)","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2013,"","Ministry of Communications and High Technologies (MC&HT)","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2014,"","Ministry of Communications and High Technologies (MC&HT)","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2015,"","Ministry of Communications and High Technologies (MC&HT)","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2016,"","Ministry of Transport, Communications and High Technologies","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2017,"","Ministry of Transport, Communications and High Technologies","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2018,"","Ministry of Transport, Communications and High Technologies","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2019,"","Ministry of Digital Development and Transport","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2020,"","Ministry of Digital Development and Transport","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",25,"AZE","Azerbaijan","1.0",2021,"","Ministry of Digital Development and Transport","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",28,"BHS","Bahamas","5.0",2016,"Obtainted from URCA's Licensees","Utilities Regulation and Competition Authority","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",28,"BHS","Bahamas","5.0",2017,"Obtainted from URCA's Licensees","Utilities Regulation and Competition Authority","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",28,"BHS","Bahamas","5.0",2018,"Obtainted from URCA's Licensees","Utilities Regulation and Competition Authority","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",29,"BDI","Burundi","2.0",2016,"Agence de Régulation et de Contrôle des Télécommunications","AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
13065,"i147t","Service activation time for fixed-broadband service",,"days",29,"BDI","Burundi","2.0",2017,"Agence de Régulation et de Contrôle des Télécommunications","AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS","Service activation time for fixed broadband service refers to the time from the date of application to date of service activation"
