"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2"
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,6,"AFG","Afghanistan","Commercial agreements",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,6,"AFG","Afghanistan","Commercial agreements",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,7,"ZAF","South Africa","Regulation",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,7,"ZAF","South Africa","Both",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,7,"ZAF","South Africa","Both",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,7,"ZAF","South Africa","Both",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,7,"ZAF","South Africa","Both",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,8,"AGO","Angola","Regulation",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,8,"AGO","Angola","Regulation",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,8,"AGO","Angola","Regulation",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,10,"ALB","Albania","Commercial agreements",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,11,"DZA","Algeria","Commercial agreements",2022,"Spectrum sharing is not practiced in the country.","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,11,"DZA","Algeria","Commercial agreements",2023,"Spectrum sharing is not practiced in the country.","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,14,"AND","Andorra","Regulation",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,16,"ARG","Argentina","Regulation",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,16,"ARG","Argentina","Both",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,16,"ARG","Argentina","Regulation",2021,"Se permite en determinados lugares hasta tanto los operadores completen los despliegues comprometidos","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,16,"ARG","Argentina","Regulation",2022,"Se permite en determinados lugares hasta tanto los operadores completen los despliegues comprometidos","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,16,"ARG","Argentina","Regulation",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,16,"ARG","Argentina","Regulation",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,18,"SAU","Saudi Arabia","Both",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,18,"SAU","Saudi Arabia","Both",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,18,"SAU","Saudi Arabia","Both",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,18,"SAU","Saudi Arabia","Both",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,18,"SAU","Saudi Arabia","Both",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,23,"AUS","Australia","Both",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,23,"AUS","Australia","Commercial agreements",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,23,"AUS","Australia","Regulation",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,23,"AUS","Australia","Regulation",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,23,"AUS","Australia","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,23,"AUS","Australia","Both",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,23,"AUS","Australia","Both",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,24,"AUT","Austria","Commercial agreements",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,25,"AZE","Azerbaijan","Regulation",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,27,"BRA","Brazil","Both",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,27,"BRA","Brazil","Both",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,27,"BRA","Brazil","Both",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,27,"BRA","Brazil","Both",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,27,"BRA","Brazil","Both",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,29,"BDI","Burundi","Both",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,29,"BDI","Burundi","Both",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,29,"BDI","Burundi","Both",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,29,"BDI","Burundi","Both",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,31,"BEN","Benin","Regulation",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,31,"BEN","Benin","Regulation",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,31,"BEN","Benin","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,31,"BEN","Benin","Regulation",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,31,"BEN","Benin","Regulation",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,33,"BFA","Burkina Faso","Regulation",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,33,"BFA","Burkina Faso","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,39,"BOL","Bolivia (Plurinational State of)","Commercial agreements",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,39,"BOL","Bolivia (Plurinational State of)","Commercial agreements",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,39,"BOL","Bolivia (Plurinational State of)","Commercial agreements",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,40,"BWA","Botswana","Regulation",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,41,"BRB","Barbados","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
