"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,6,"AFG","Afghanistan","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,6,"AFG","Afghanistan","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,6,"AFG","Afghanistan","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,6,"AFG","Afghanistan","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,6,"AFG","Afghanistan","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,7,"ZAF","South Africa","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,8,"AGO","Angola","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,8,"AGO","Angola","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,8,"AGO","Angola","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,8,"AGO","Angola","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,10,"ALB","Albania","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,11,"DZA","Algeria","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,11,"DZA","Algeria","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,11,"DZA","Algeria","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,11,"DZA","Algeria","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,11,"DZA","Algeria","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,11,"DZA","Algeria","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,11,"DZA","Algeria","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,14,"AND","Andorra","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,14,"AND","Andorra","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,14,"AND","Andorra","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,14,"AND","Andorra","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,14,"AND","Andorra","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,14,"AND","Andorra","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,16,"ARG","Argentina","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,17,"ARM","Armenia","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,18,"SAU","Saudi Arabia","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,23,"AUS","Australia","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,23,"AUS","Australia","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,23,"AUS","Australia","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,23,"AUS","Australia","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,23,"AUS","Australia","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,23,"AUS","Australia","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,24,"AUT","Austria","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,25,"AZE","Azerbaijan","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,27,"BRA","Brazil","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,27,"BRA","Brazil","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,27,"BRA","Brazil","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,27,"BRA","Brazil","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,27,"BRA","Brazil","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,27,"BRA","Brazil","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,27,"BRA","Brazil","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","No",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","No",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","No",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,28,"BHS","Bahamas","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","No",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","No",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","No",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,29,"BDI","Burundi","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,30,"BEL","Belgium","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,31,"BEN","Benin","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2019,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,33,"BFA","Burkina Faso","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,34,"BGD","Bangladesh","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,35,"BHR","Bahrain","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,35,"BHR","Bahrain","Yes",2022,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,35,"BHR","Bahrain","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,35,"BHR","Bahrain","Yes",2024,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,37,"BLR","Belarus","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,38,"BLZ","Belize","Yes",2018,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,38,"BLZ","Belize","Yes",2023,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,39,"BOL","Bolivia (Plurinational State of)","Yes",2015,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,39,"BOL","Bolivia (Plurinational State of)","Yes",2016,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,39,"BOL","Bolivia (Plurinational State of)","Yes",2017,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,39,"BOL","Bolivia (Plurinational State of)","Yes",2020,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,39,"BOL","Bolivia (Plurinational State of)","Yes",2021,"","","ICT operators / services providers"
20522,"tpTelecomChainTaxes_ServicesProviders","ICT Operators / services providers",,,39,"BOL","Bolivia (Plurinational State of)","Yes",2022,"","","ICT operators / services providers"
