"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10","dataValue 11"
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,6,"AFG","Afghanistan","Fax",2000,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,6,"AFG","Afghanistan",,2004,"","","","Internet","Fax","Email",,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,6,"AFG","Afghanistan","Broadband",2020,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,6,"AFG","Afghanistan","Broadband",2021,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,7,"ZAF","South Africa","Broadband",2015,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,7,"ZAF","South Africa",,2018,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,7,"ZAF","South Africa",,2019,"","","","Broadband","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,7,"ZAF","South Africa",,2020,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,7,"ZAF","South Africa",,2021,"","","","Broadband","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,7,"ZAF","South Africa",,2022,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,7,"ZAF","South Africa","Dial-up or unspecified Internet access",2024,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,8,"AGO","Angola","Data transmission",2002,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,8,"AGO","Angola","Internet",2003,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,8,"AGO","Angola",,2004,"","","","Email","Fax","Internet",,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,8,"AGO","Angola","Dial-up or unspecified Internet access",2007,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,8,"AGO","Angola","Dial-up or unspecified Internet access",2008,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,8,"AGO","Angola",,2020,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,8,"AGO","Angola",,2021,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Fax",2000,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania",,2003,"","","","Internet","Fax","Email",,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania",,2004,"","","","Internet","Fax","Email",,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania",,2006,"","","","Fax","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2014,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2015,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2016,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2017,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2018,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2019,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2020,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2021,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,10,"ALB","Albania","Broadband",2022,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria",,2015,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria",,2016,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria",,2017,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria",,2018,"","","","Broadband","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria",,2019,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria",,2020,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria",,2021,"","","","Broadband","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,11,"DZA","Algeria","Dial-up or unspecified Internet access",2022,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2007,"","","","Fax","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2008,"","","","Fax","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra","Broadband",2009,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2010,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2011,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2012,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra","Broadband",2016,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Fax",2001,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2006,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2007,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2008,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2009,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Broadband",2010,"","","",,,,,,,,,,,
