"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10"
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,6,"AFG","Afghanistan","Cross-subsidy between own services (internal financing)",2004,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,6,"AFG","Afghanistan","Other",2005,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,6,"AFG","Afghanistan","Universal service funds",2014,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,6,"AFG","Afghanistan","Universal service funds",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,6,"AFG","Afghanistan","Universal service funds",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,6,"AFG","Afghanistan","Universal service funds",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,6,"AFG","Afghanistan","Universal service funds",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa",,2003,"","","","Universal service funds","Cross-subsidy between own services (internal financing)",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa",,2004,"","","","Cross-subsidy between own services (internal financing)","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2015,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Cross-subsidy between own services (internal financing)",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,7,"ZAF","South Africa","Other",2024,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola",,2000,"","","","Cross-subsidy between own services (internal financing)","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola",,2001,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola","Universal service funds",2002,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola",,2003,"","","","Cross-subsidy between own services (internal financing)","Access interconnection charges",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola","Universal service funds",2004,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola","Universal service funds",2007,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola","Universal service funds",2008,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola","Universal service funds",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,8,"AGO","Angola","Universal service funds",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Cross-subsidy between own services (internal financing)",2000,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Cross-subsidy between own services (internal financing)",2003,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania",,2005,"","","","Other","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2006,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2014,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2015,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,10,"ALB","Albania","Other",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2004,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2005,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2015,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2007,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2008,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2009,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2011,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2012,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2016,"","","",,,,,,,,,,
