"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","335582.0",2015,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","384797.0",2016,"","Independent Communication Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","136954.0",2017,"","Independent Communication Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","210725.0",2018,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","297320.0",2019,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","260044.0",2020,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","208284.0",2021,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","353674.0",2022,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","454615.0",2023,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
11621,"i112IP","VoIP subscriptions",,"count",7,"ZAF","South Africa","389041.0",2024,"","Independent Communications Authority of South Africa","Refers to the number of managed voice-over-Internet protocol (VoIP) fixed-line subscriptions. It is also known as voice over broadband (VoB), and includes VoIP subscriptions through fixed wireless, DSL, cable, fibre optic, and other fixed-broadband"
